Category,#,Exercise,Primary Focus
Warm-Up: Mobility,1,Leg Swings (Front/Side),Hip Joint Fluidity
,2,Walking Knee Hugs,Glute Activation
,3,Cradle Walks,Hip External Rotation
,4,Spiderman w/ Reach,Thoracic & Hip Mobility
,5,Frankenstein Walks,Hamstring Range of Motion
,6,Inchworms,Posterior Chain & Core
,7,Lateral Lunges,Adductor Flexibility
Warm-Up: CNS,8,Pogo Jumps,Ankle Stiffness
,9,A-March,Posture & Dorsiflexion
,10,B-Skips,"Hamstring ""Paw"" Action"
,11,Fast Leg Cycles,High-Frequency Turnover
,12,Build-Ups (60/80/95%),CNS Prep for Max Velocity
Track: Acceleration,13,Ankle Dribbles,Efficient Foot Strike
,14,A-Skips (Speed),Rhythm & Ground Force
,15,Wicket Walkovers,Hip Height
,16,Low-Speed Wickets,Stride Frequency
,17,Speed Skips (Height),Vertical Force
,18,Speed Skips (Distance),Horizontal Power
,19,Wall Drive Accels,Drive Phase Mechanics
,20,Hill Sprints (Short),Explosive Concentric Power
,21,Falling Starts,Acceleration Lean
,22,3-Point Starts,Competition Block Prep
,23,Light Sled Push,Weighted Acceleration
Track: Max V / End.,24,Straight-Leg Bounds,Glute/Hamstring Snap
,25,Progressive Wickets,Transition to Max Velocity
,26,Wicket Flys,Max Velocity Maintenance
,27,Flying 30s,Pure Top-End Speed
,28,Ins-and-Outs,Speed Endurance/Relaxation
,29,Gradual Hill Sprints,Sustainable High Output
,30,Moderate Sled Push,Strength-Speed
,31,Sprint-Float-Sprint,Sub-Max Efficiency
,32,Curve Wickets,Centrifugal Force Mechanics
,33,Sprint Reps (120/150m),Lactate Threshold/Capacity
,34,Tempo Strides,Recovery & Form Work
Weight Room,35,Power Clean,Rate of Force Development
,36,Snatch,Overhead Stability/Power
,37,Back Squat,Absolute Lower Body Strength
,38,Front Squat,Anterior Chain/Core Strength
,39,Nordic Curls,Eccentric Hamstring Safety
,40,Single-Leg Squats,Unilateral Stability
,41,Bulgarian Split Squat,Hip Flexor Stretch/Strength
,42,Skater Squats,Lateral Hip Stability
,43,RDL (Single/Double),Posterior Chain Strength
,44,Hip Thrusts,Glute Power
,45,Box Jumps,Vertical Displacement
,46,Med-Ball Throws (OH/Rot),Total Body Explosiveness
,47,Farmer Carries,Grip & Core Anti-Flexion
,48,Calf/Tibialis Raises,Lower Leg Armor
,49,Hanging Knee Raises,High-Hip Flexion Strength
,50,Plank Holds,Isometric Core Stability
