#,Drill Name,Sport,Category,Focus,Reps,Sets,Dur,Setup,Space,Level,Phase,Metric,Path,Flight,Cue,Equipment,Proper Form,demo,Enviroment,Description,Type,Stars
40,The Pro Drill,Baseball and Softball,Hitting,All Fields,15,3,20m,5m,Field,Adv,Full,Dispersion,Adj,All,"""Be a pro""","Bat, L-Screen","Sequence: 3 to opposite field, 3 up middle, 3 to pull side.",Watch Demo,field,"Directional sequencing (Opposite, Middle, Pull).",Mastery,⭐⭐⭐⭐⭐
13,2-Strike Choke,Baseball and Softball,Hitting,Contact %,10,3,8m,1m,Cage,Beg,Finish,Whiff %,Short,LD,"""Battle""","Bat, Balls","Choke up, widen stance, and shorten the swing path.",Watch Demo,cages,Shortened swing mechanics for defensive hitting.,Situational,⭐⭐⭐
17,Back Leg Hold,Baseball and Softball,Hitting,Weight Dist,8,3,10m,1m,10x10,Adv,Load,Balance,Level,LD,"""Stay back""","Bat, Tee",Hold a back-leg balance for 2 seconds to feel the load.,Watch Demo,field,"Static balance drill to ensure the weight is properly ""loaded.""",Balance,⭐⭐⭐⭐⭐
22,Flamingo,Baseball and Softball,Hitting,Leg Drive,10,3,8m,1m,Cage,Int,Stride,Exit Velo,Level,Cent,"""Lift leg""","Bat, Tee","Lift front knee high, hold, then drive forward explosively.",Watch Demo,cages,Exaggerated leg kick to find a powerful drive point.,Power,⭐⭐⭐⭐
36,Wood Bat,Baseball and Softball,Hitting,Sweet Spot,10,5,20m,1m,Cage,Adv,Impact,Sweet Spot %,Level,LD,"""Find wood""",Wood Bat,"Teaches you to find the ""sweet spot"" via vibration feedback.",Watch Demo,cages,Feedback drill; wood provides immediate vibration on misses.,Feedback,⭐⭐⭐⭐⭐
14,Rapid Fire,Baseball and Softball,Hitting,Hand Speed,20,3,5m,2m,Cage,Adv,Launch,Hands/Min,Short,All,"""Quick!""","Bat, Many Balls",5-10 balls in quick succession to eliminate extra movement.,Watch Demo,cages,"High-tempo toss to build muscle memory and eliminate ""fluff.""",Endurance,⭐⭐⭐⭐⭐
26,Split Grip,Baseball and Softball,Hitting,Hand Indep,10,4,10m,1m,Cage,Beg,Impact,Contact %,Level,LD,"""Split hands""",Bat,2-inch gap between hands. Prevents the bat from dragging.,Watch Demo,cages,Hands spaced apart to feel the bat rotate around the handle.,Path,⭐⭐⭐
37,Reach Drill,Baseball and Softball,Hitting,Outer Half,12,3,8m,1m,Cage,Int,Extension,Opp. Fld %,Away,Away,"""Stay thru""","Bat, Outer Tee","Put tee on the outside corner. Stay ""closed"" with shoulders.",Watch Demo,cages,"Placing the ball far outside to force a ""closed"" shoulder.",Directional,⭐⭐⭐⭐
35,Softball Drop,Softball,Hitting,Top Spin,10,4,15m,3m,Field,Adv,Launch,Launch $\angle$,Down,Low,"""Drive down""","Bat, Drop Machine",Focus on a steeper entry angle to catch the falling ball.,Watch Demo,field,"Targeting the ""drop"" pitch path.",Specificity,⭐⭐⭐⭐
31,Angle Toss,Baseball and Softball,Hitting,Inside Ball,12,3,10m,2m,Cage,Int,Impact,Exit Velo,Linear,Gap,"""Drive in""","Bat, Partner","Toss from behind the hitter. Forces staying ""inside"" the ball.",Watch Demo,cages,Tossed from behind the hitter's shoulder.,Path,⭐⭐⭐⭐⭐
24,Eyes Closed,Baseball and Softball,Hitting,Muscle Mem,5,2,5m,1m,Cage,Adv,Full,Consistency,Level,N/A,"""Feel path""","Bat, Tee","Close eyes at stride, open at contact. Improves spatial sense.",Watch Demo,cages,Blindfold/eyes closed until stride to feel the body's center.,Proprioception,⭐⭐⭐⭐
28,Live BP,Baseball and Softball,Hitting,Pitch Recog,6,5,30m,10m,Field,Adv,Decision,Hard Hit %,Adj,All,"""Compete""","Bat, L-Screen",Tracking the ball from release to the hitting zone.,Watch Demo,field,Most realistic training; tracking from the mound.,Game-Sim,⭐⭐⭐⭐⭐
