Rank,Exercise Name,Level,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,Demo,w_room
1,Cable Crossover,Beg,Chest,Low,3,12-15,--,45s,Pec Isolation,⭐,None,Chest Squeeze,Mind-Muscle,Constant tension for pectoral muscles.,Stand center; pull in wide arc to meet in front.,🎥,w_room
2,Low Cable Fly,Inter,Chest,Med,3,12,--,45s,Upper Pec,⭐⭐,Crossover,Upper Fill,Fiber Recruit,Emphasizes upper-to-mid chest fibers.,Pulleys at bottom; pull upward toward chin.,🎥,w_room
3,Rear Delt Fly,Beg,Shoulders,Low,3,15,--,30s,Post. Health,⭐,None,Posture,Scap. Stability,Isolates rear delts and improves posture.,Cross cables; pull arms back horizontally.,🎥,w_room
4,Cable Press,Beg,Chest,Med,3,10,--,60s,Press Stability,⭐⭐,Push-up,Bracing,Force Prod.,Stable compound press for chest/triceps.,Staggered stance; press forward like bench.,🎥,w_room
5,Mid Crossover,Beg,Chest,Low,3,12,--,45s,Sternal Pec,⭐,None,Pec Width,Mid-Chest Mass,Targets the middle portion of the pecs.,Pulleys at chest height; pull to sternum.,🎥,w_room
6,Cable Shrugs,Inter,Trapezius,Med,4,12-15,--,60s,Trap Density,⭐⭐,BB Shrug,Neck Health,Trap Height,Heavy isolation with vertical tension.,Use straight bar; shrug to ears; arms straight.,🎥,w_room
7,Double Bi Curl,Beg,Biceps,Low,3,12,--,45s,Bicep Peak,⭐,BB Curl,Flex Control,Bicep Width,"High-pulley curl mimicking ""front double bicep.""",Pulleys at shoulder height; curl toward ears.,🎥,w_room
8,Cable Sh. Press,Beg,Shoulders,Med,3,10,--,60s,Overhead Pow,⭐⭐,DB Press,Stability,Vertical Drive,Smooth overhead press with consistent resistance.,Press from shoulders to full lockout.,🎥,w_room
9,SA Low Fly,Beg,Chest,Low,3,12ea,--,30s,Symmetry,⭐,Low Fly,Core Brace,Pec Balance,Unilateral isolation for chest asymmetry.,One low pulley; pull across to opposite shoulder.,🎥,w_room
10,X-Over Lat Down,Inter,Back,High,3,10,--,60s,Lat Width,⭐⭐⭐,Pulldown,Lat Active,Back Depth,Enhanced range for lat width and depth.,Kneel; cross arms for handles; pull to ribs.,🎥,w_room
11,Incline Bench Fly,Inter,Chest,Low,3,12,--,45s,Upper Isolation,⭐⭐,Incline Press,Bench Steady,Upper Pec Pop,Precision isolation for upper pectorals.,Lie on incline bench; pull handles above face.,🎥,w_room
12,Flat Bench Fly,Inter,Chest,Low,3,12,--,45s,Chest Mass,⭐⭐,Bench Press,Squeeze Power,Pec Thickness,Stable isolation for chest mass/strength.,Lie on flat bench; pull handles in wide arc.,🎥,w_room
13,Balance Crunch,Beg,Abs,Med,3,15,--,45s,Core/Oblique,⭐⭐,Cable Crunch,Stability,Anti-Lateral,Combines stability with oblique side bends.,Kneel on balance trainer; crunch then bend side.,🎥,w_room
