Enviroment,#,Exercise,Detailed Description,Sets,Reps/Dist.,Primary Focus,Stars,High School Goals (Time/Dist.),College Goals (Time/Dist.),sport,Proper Form,type,Equipment Needed,Demo
track,1,Leg Swings,Linear and lateral swings to open hip capsule.,2,10 ea.,Hip Joint Mobility,⭐,90° range; upright torso.,>110° range; zero sway.,Track,Keep torso vertical; use a wall for balance; avoid arching the lower back.,warm-up,None (or Wall/Fence),https://www.youtube.com/watch?v=A8f9eFjC_wU
track,2,Walking Knee Hugs,Pull knee to chest on toes.,2,10-15m,Glute Activation,⭐,Balanced hold for 1s.,Explosive pull; no wobble.,Track,"Pull knee high; stay tall on the ""post"" leg; engage the glute of the standing leg.",warm-up,None,https://www.youtube.com/watch?v=A7rLIdK_D6E
track,3,Cradle Walks,Rotate knee/hip to pull shin to chest.,2,10-15m,External Hip Rotation,⭐⭐,Shin parallel to ground.,Toe-up balance throughout.,Track,Pull at the ankle and knee simultaneously; keep chest up; feel the stretch in the outer hip.,warm-up,None,https://www.youtube.com/watch?v=0w5GqV1Xf7M
track,4,Spiderman w/ Reach,Lunge with thoracic rotation.,2,5 ea.,Hip & T-Spine Mobility,⭐⭐,Elbow to instep.,Elbow to floor; fluid reach.,Track,Back leg straight; rotate chest toward the front knee; follow hand with eyes.,warm-up,None,https://www.youtube.com/watch?v=S07S5qXN0w0
track,5,Frankenstein Walks,Kick feet to opposite hands.,2,15m,Hamstring Flexibility,⭐,Reach 90° consistently.,"Fast ""snap"" down to track.",Track,Keep back flat; flex toes toward shin (dorsiflexion); do not round shoulders forward.,warm-up,None,https://www.youtube.com/watch?v=l8p3j0mYhXw
track,6,Inchworms,"Hinge, walk hands to plank, walk feet in.",2,5-8 reps,Posterior Chain Stretch,⭐⭐,"Feet walk to within 12"" of hands.",Feet touch palms; legs locked.,Track,Keep legs as straight as possible; engage core in plank; walk feet up using small ankle hops.,warm-up,None,https://www.youtube.com/watch?v=L_Tf3sLms_o
track,7,Lateral Lunges,"Step wide, sink hips back.",2,8 ea.,Adductor Mobility,⭐⭐,Thigh parallel to floor.,Hip crease below knee level.,Track,Keep weight in the heel of the bent leg; chest up; trail foot stays flat on the floor.,warm-up,None,https://www.youtube.com/watch?v=dL9ZzqtQIy4
track,8,Pogo Jumps,Rapid vertical hops using ankles.,3,15-20 reps,Ankle Stiffness,⭐⭐,< 0.20s Ground Contact.,< 0.16s Ground Contact.,Track,"Minimal knee bend; ""flick"" the ground with the balls of the feet; stay vertical.",warm-up,None,https://www.youtube.com/watch?v=uD5o1_4IeYg
track,9,A-March,High-knee walking with arm drive.,3,20m,Proper Running Posture,⭐⭐,Piston-like foot strike.,Max frequency; rigid torso.,Track,Thigh parallel to ground; toe pulled up (dorsiflexed); opposite arm/leg coordination.,warm-up,None,https://www.youtube.com/watch?v=9_p5_Nl6N7I
track,10,B-Skips,"High-knee skip with active ""clawing.""",3,20m,Hamstring Recruitment,⭐⭐⭐,"Audible ""strike"" under hip.","""Claw"" covers 2m per skip.",Track,Cycle leg forward then aggressively pull the foot back under the center of mass.,warm-up,None,https://www.youtube.com/watch?v=vVEn7O8-v0U
track,11,Fast Leg Cycles,"Rapid single-leg ""cycling"" in air.",3,10m,Frequency & Turnover,⭐⭐⭐,Smooth circular path.,"Elite ""piston"" speed.",Track,"Keep the ""post"" leg straight; cycle the working leg in a tight, circular ""step-over"" motion.",warm-up,None,https://www.youtube.com/watch?v=XhS6X7_L6wA
track,12,Build-Ups,Gradual accel sprints (60-95%).,3,40m,Neural Priming,⭐⭐⭐,90% speed by 30m.,98% speed by 35m.,Track,Start smooth; increase turnover rhythmically; maintain relaxed shoulders and face.,Drills,Open Track/Field,https://www.youtube.com/watch?v=Yp83uU8wJ54
track,13,Ankle Dribbles,"Small, fast steps over the ankle.",3,20m,Quick Ground Contact,⭐⭐,20m in < 4.8s.,20m in < 4.1s.,Track,"Fast foot contacts; stay on the balls of the feet; ankles stay tight and ""springy.""",Drills,None,https://www.youtube.com/watch?v=pB6-tNnL5Y0
track,14,A-Skips (Speed),Aggressive skipping; driving foot down.,3,20m,Vertical Force,⭐⭐⭐,"Focus on ""loud"" ground hits.",Max power; 0.18s contact.,Track,"Punch the foot down directly under the hip; maintain a tall, ""stiff"" spine.",Drills,None,https://www.youtube.com/watch?v=3-EwLUp0N4o
track,15,Wicket Walkovers,Stepping over 6-12 inch hurdles.,3,10 hurdles,Pelvic Alignment,⭐⭐⭐,No hip dipping.,Knee above hurdle at all times.,Track,"Step ""over the pipe""; keep hips high and level; avoid leaning back.",Drills,6-10 Mini-Hurdles,https://www.youtube.com/watch?v=mD_L70I0s7c
