Rank,Exercise Name,Level,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,Demo,env
1,Alt. MB Push Up,Beg,Chest,Med,3,12,--,45s,Asym. Strength,⭐⭐,Push-up,Shoulder Stab.,Chest Balance,Push-up addressing strength imbalances.,One hand on ball; push up; roll ball to other hand.,🎥,all
2,MB Russian Twist,Beg,Abs,Low,3,20,--,30s,Oblique Eng.,⭐,None,Rotation,Core Endurance,Weighted rotational exercise for obliques.,"Sit, feet off floor; rotate ball side-to-side.",🎥,all
3,Med Ball Slam,Beg,Back/Core,High,4,10,--,60s,Expl. Power,⭐⭐⭐,None,Power Output,Athletic Engine,High-intensity move for power/cardio.,Reach overhead; slam ball down using core/arms.,🎥,all
4,Lunge w/ Twist,Inter,Glutes,Med,3,10ea,--,45s,Rot. Stability,⭐⭐,Lunge,Balance,Kinetic Chain,Lower body strength with rotational stability.,Lunge forward; twist ball over front leg.,🎥,all
5,MB Superman,Inter,Low Back,Med,3,12,2s Hold,45s,Post. Chain,⭐⭐,Superman,Back Health,Posture Hold,Weighted extension for posterior chain.,Lie face down; hold ball; lift arms and legs.,🎥,all
6,Partner Twist,Beg,Abs,Low,3,20,--,30s,Coordination,⭐,None,Teamwork,Core Control,Social drill for rotational strength.,Back-to-back; pass ball side-to-side in circle.,🎥,all
7,MB Push Up,Beg,Chest,Med,3,10,--,45s,Stability,⭐⭐,Push-up,Wrist Strength,Core Shield,Increases instability for stabilizers.,Both hands on ball; elbows tucked; lower chest.,🎥,all
8,MB Hip Thrusts,Beg,Glutes,Low,3,15,--,45s,Glute Iso,⭐,Bridge,Hip Extension,Glute Active,Weighted bridge for glute isolation.,Shoulders on bench; ball on hips; drive up.,🎥,all
9,MB SL RDL,Inter,Hamstrings,High,3,10ea,--,60s,Balance,⭐⭐⭐,RDL,Ankle Stab.,Hinge Control,Unilateral balance and hamstring stretch.,Hinge on one leg; lower ball; keep back flat.,🎥,all
10,MB Romanian DL,Beg,Hamstrings,Med,3,12,--,45s,Hinge Found.,⭐⭐,None,Hinge Pattern,Ham. Flexibility,Foundation hinge with added resistance.,Hinge hips back; lower ball to mid-shins.,🎥,all
11,MB Glute Bridge,Beg,Glutes,Low,3,15,--,30s,Glute Strength,⭐,None,Pelvic Align.,Glute Pump,Floor-based glute and core strengthener.,Lie on back; ball on hips; lift hips to ceiling.,🎥,all
12,Wall Ball,Inter,Quads,High,4,12,--,90s,Conditioning,⭐⭐⭐,Squat,Full Body Synch,Stamina,Explosive full-body movement.,Squat; explosively throw ball to wall target.,🎥,all
13,Partner Chest Pass,Beg,Chest,High,3,15,--,60s,Upper Power,⭐⭐,None,Reaction Time,Pass Velocity,Upper body explosive power/coordination.,Push ball from chest explosively to partner.,🎥,all
14,MB Leg Crunch,Inter,Abs,Med,3,15,--,45s,Ab Activation,⭐⭐,Crunch,Hip Flexor Str.,Midsection Mass,Combines upper and lower ab activation.,Ball between feet; crunch knees and chest.,🎥,all
15,MB OH Sit Up,Adv,Abs,High,3,10,--,60s,Long-Lever,⭐⭐⭐,Sit Up,Core Bracing,Ab Definition,Core move with long-lever resistance.,Sit-up while keeping ball locked out overhead.,🎥,all
16,MB Reverse Lunge,Inter,Glutes,Med,3,12ea,--,45s,Weighted Lunge,⭐⭐,Lunge,Knee Tracking,Unilat. Power,Glute-focused weighted lunge.,Step back into lunge; drive through front heel.,🎥,all
17,Medicine Ball Lunge,Beg,Quads,Low,3,12ea,--,45s,Quad Load,⭐,None,Torso Upright,Leg Volume,Classic lunge with front-load weight.,Step forward; hold ball at chest; squat.,🎥,all
18,MB Curtsy Lunge,Inter,Glutes,Med,3,12ea,--,45s,Hip Stability,⭐⭐,Lunge,Glute Medius,Lateral Bal.,Weighted move for glutes and stability.,Step foot behind and across; hold ball at chest.,🎥,all
19,Balance OH Crunch,Inter,Abs,Med,3,15,--,45s,Instability,⭐⭐,Crunch,Deep Core,Balance,Core engagement via BOSU instability.,Lie on BOSU; hold ball overhead; crunch up.,🎥,all
20,MB Side Lunge,Beg,Quads,Low,3,10ea,--,45s,Lateral Mot.,⭐,None,Hip Range,Lat. Speed,Lateral movement for quads and obliques.,Step wide to side; sit into hip; hold ball.,🎥,all
21,SL Bridge Squeeze,Inter,Glutes,Med,3,12ea,--,45s,Adductor Iso,⭐⭐,Bridge,Pelvic Stab.,Inner Thigh Str,Unilateral glute and adductor isolation.,One-leg bridge; squeeze ball between knees.,🎥,all
22,MB OH Lunge,Inter,Quads,High,3,10ea,--,60s,OH Stability,⭐⭐⭐,OH Press,Scap. Control,Core Bracing,Advanced shoulder and core stability.,Hold ball overhead; step forward into lunge.,🎥,all
23,Sit Up w/ Toss,Inter,Abs,High,3,12,--,60s,Dynamic Power,⭐⭐⭐,Sit Up,Coordination,Expl. Core,Dynamic coordination and power move.,Sit up; toss ball; catch on way down.,🎥,all
24,MB Squat,Inter,Quads,Med,3,15,--,45s,Front Load,⭐⭐,Squat,Depth,Quad Drive,Standard squat with front-loaded weight.,Hold ball at chest; squat deep; core tight.,🎥,all
25,Partner Sit Up,Beg,Abs,Med,3,15,--,45s,Core Cond.,⭐⭐,Sit Up,Rhythm,Endurance,Partner-based core conditioning.,"Toss ball during ""up"" phase of sit-up.",🎥,all
26,Partner Russian,Beg,Abs,Low,3,20,--,30s,Oblique Pass,⭐,Russian Tw.,Coordination,Speed,Oblique work with coordination.,Pass ball to partner while twisting side-to-side.,🎥,all
27,Partner Squat/Thr,Beg,Quads,High,3,12,--,60s,Total Power,⭐⭐,Squat,Triple Ext.,Reaction,Fast-paced lower body power move.,Squat; explosively throw; catch and descend.,🎥,all
28,Partner Roll PU,Inter,Chest,High,3,10ea,--,60s,Team Stability,⭐⭐⭐,MB Push Up,Control,Athleticism,Advanced stability and teamwork drill.,Push-up; roll ball to partner; they push-up.,🎥,all
