Rank,Exercise Name,Level,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,Demo,env
1,Shoulder Squeeze,Beg,Back,Low,3,15,2s Hold,30s,Posture,⭐,None,Scap. Control,Upper Bk Density,High-tension isolation for upper back.,Pull band apart to chest; squeeze scapula.,🎥,all
2,Stnd. Tricep Ext,Beg,Triceps,Low,3,12,--,30s,Arm Def.,⭐,None,Full Lockout,Tricep Shape,Vertical extension for arm definition.,Extend arm downward against band tension.,🎥,all
3,Bicep Curl,Beg,Biceps,Low,3,12,--,30s,Bicep Peak,⭐,None,Strict Reps,Peak Tension,Progressive resistance for bicep peaks.,Step on band; curl to shoulders; elbows pinned.,🎥,all
4,Bent Over Row,Beg,Back,Med,3,10,--,45s,Back Thick,⭐⭐,None,Flat Back,Pull Strength,Compound pull for thickness and posture.,Hinge forward; pull band ends to hips.,🎥,all
5,Good Morning,Beg,Hamstrings,Med,3,12,--,45s,Hinge Load,⭐⭐,Hinge,Hip Mobility,Hame String Size,Hinge move with peak tension at the top.,Band over neck/under feet; hinge at hips.,🎥,all
6,SA Tricep Ext,Beg,Triceps,Low,3,12ea,--,30s,Symmetry,⭐,Tricep Ext,Arm Balance,Unilat. Detail,Unilateral isolation to fix imbalances.,Anchor at shoulder; extend one arm to lockout.,🎥,all
7,Hammer Curl,Beg,Biceps,Low,3,12,--,30s,Brachialis,⭐,Bicep Curl,Grip Strength,Forearm Mass,Targets brachialis and forearm width.,Palms-in grip; curl toward shoulders.,🎥,all
8,Seated Row,Beg,Back,Low,3,15,--,45s,Mid-Back,⭐,None,Posture,Scap. Health,Horizontal pull with end-range squeeze.,Sit with legs out; loop on feet; pull to torso.,🎥,all
9,Assisted Pull Up,Beg,Back,High,4,8,--,60s,Pull Power,⭐⭐⭐,None,First Rep,High Volume,Uses band to reduce bodyweight load.,Loop on bar and foot; perform pull-up.,🎥,all
10,Side Step,Beg,Glutes,Med,3,15ea,--,30s,Hip Stab.,⭐⭐,None,Knee Track,Lateral Speed,Lateral move for hip/abductor stability.,Band at ankles; half-squat; step sideways.,🎥,all
11,Lat Pulldown,Beg,Back,Low,3,15,--,45s,Lat Width,⭐,None,Scap. Pull,Lat Activation,Mimics machine pull for lat width.,Hold overhead; pull elbows down to ribs.,🎥,all
12,Resisted Push Up,Beg,Chest,Med,3,10,--,60s,Chest Power,⭐⭐,Push Up,Force Prod.,Explosive Push,Adds variable resistance to chest press.,Band across back; perform standard push-up.,🎥,all
13,Glute Kickback,Beg,Glutes,Low,3,15ea,--,30s,Glute Shape,⭐,None,Hip Extension,Glute Activation,Isolation move for glute shaping.,On all fours; kick foot back against band.,🎥,all
14,Face Pull,Beg,Shoulders,Low,3,15,--,30s,Rear Delt,⭐,None,Shoulder Health,Postural Setup,Rear delt and upper back health.,Pull to forehead; flare elbows out.,🎥,all
15,Stnd. Chest Press,Beg,Chest,Med,3,12,--,45s,Stab./Chest,⭐⭐,None,Core Bracing,Press Control,Standing press for chest and stability.,Anchor behind; press forward at chest height.,🎥,all
16,Sh. Ext. Rotation,Beg,Shoulders,Low,3,15,--,30s,Cuff Health,⭐,None,Sh. Stability,Injury Prev.,Rotator cuff stability and health.,Elbows at 90°; rotate hands outward.,🎥,all
17,Hip Adduction,Beg,Adductors,Low,3,15ea,--,30s,Inner Thigh,⭐,None,Hip Balance,Groin Strength,Inner thigh strengthening.,Pull banded leg across the body midline.,🎥,all
18,Standing Ab Twist,Beg,Abs,Med,3,12ea,--,45s,Rotation,⭐⭐,None,Oblique Str.,Core Speed,Rotational core strength and obliques.,Hold at chest; rotate torso side-to-side.,🎥,all
19,Hip Abduction,Beg,Abductors,Low,3,15ea,--,30s,Outer Hip,⭐,None,Pelvic Stab.,Hip Strength,Outer hip and glute medius isolation.,Lift banded leg out to side; keep hips level.,🎥,all
20,Overhead Stretch,Beg,Shoulders,Low,2,--,60s,--,Mobility,⭐,None,Range of Mot.,Recovery,Mobility move for shoulder range.,Hold wide overhead; move arms back and forth.,🎥,all
21,Incline Press,Beg,Chest,Med,3,12,--,45s,Upper Pec,⭐⭐,Chest Press,Front Delt Str.,Upper Chest Dev,Targets upper pectorals and front delts.,Anchor low; press forward/upward at 45°.,🎥,all
22,Assisted Chin Up,Beg,Back,High,4,8,--,60s,Bicep/Back,⭐⭐⭐,None,Pullup Prep,Volume Pull,Underhand grip assisted pull-up.,Palms facing you; use band to assist.,🎥,all
23,Decline Press,Beg,Chest,Med,3,12,--,45s,Lower Pec,⭐⭐,Chest Press,Pec Def.,Press Power,Targets lower pectoral fibers.,Anchor high; press handles down toward hips.,🎥,all
24,SA Incline Press,Beg,Chest,Med,3,10ea,--,45s,Unilat. Pow,⭐⭐,Incline Press,Core Bracing,Symmetry,Unilateral upper chest isolation.,Press upward with one arm; stay square.,🎥,all
25,Ext. Rot (90°),Beg,Shoulders,Low,3,12ea,--,30s,Cuff/Post.,⭐,Sh. Ext Rot,Overhead Stab.,Sh. Health,High-position rotator cuff work.,Arm at shoulder height; rotate forearm up.,🎥,all
26,Romanian DL,Beg,Hamstrings,Med,3,15,--,45s,Post. Chain,⭐⭐,Hinge,Ham. Stretch,Hip Snap,Hip-hinge for posterior chain strength.,Hinge at hips; flat back; snap hips forward.,🎥,all
27,High Pull,Beg,Shoulders,Med,3,12,--,45s,Trap/Delt,⭐⭐,None,Explosiveness,Sh. Width,Compound pull for delts and traps.,Pull to chin; elbows stay above wrists.,🎥,all
28,Deadlift,Beg,Hamstrings,High,4,10,--,60s,Pull Found.,⭐⭐⭐,Hinge,Base Strength,Floor Power,Foundational pull for legs and back.,Squat/hinge; stand up to full lockout.,🎥,all
29,Seated Sh. Press,Beg,Shoulders,Low,3,12,--,45s,Delt Iso,⭐,None,Press Vol.,Strict Power,Isolated vertical press for deltoids.,Sit on band; press ends directly overhead.,🎥,all
30,Back Squat,Beg,Quads,Med,4,12,--,60s,Leg Mass,⭐⭐,Body Squat,Squat Depth,Leg Power,Compound leg move; variable tension.,Band over traps/under feet; deep squat.,🎥,all
31,Negative Pull Up,Beg,Back,High,3,5,5s Down,90s,Ecc. Strength,⭐⭐⭐,None,Pullup First,Strength Build,Focuses on the eccentric lowering phase.,Jump to top; lower slowly with band help.,🎥,all
32,Int. Rotation 90°,Beg,Shoulders,Low,3,15ea,--,30s,Cuff Strength,⭐,None,Sh. Integrity,Injury Prev.,Functional rotator cuff strength.,Arm at shoulder height; rotate forearm down.,🎥,all
33,Single Arm Fly,Beg,Chest,Low,3,12ea,--,30s,Chest Stretch,⭐,None,Pec Isolation,Squeeze,Unilateral isolation for chest stretch.,Pull arm across chest in arc; arm straight.,🎥,all
