number,Exercise Name,Env.,Category,CNS,Sets,Reps/Dist,Time,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Demo
1,H/L Walk (R),Gym,Warm-up,Low,2,20m,--,Dynamic Mobility,⭐,None,Fluid,No sway,Lateral walk with CG shifts.,Link
2,H/L Walk (L),Gym,Warm-up,Low,2,20m,--,Dynamic Mobility,⭐,None,Fluid,No sway,Lateral walk with CG shifts.,Link
3,H/L Backpedal (R),Gym,Warm-up,Low,2,15m,--,Post. Chain Prep,⭐⭐,None,Balanced,Quick reach,Backward reach with low hips.,Link
4,H/L Backpedal (L),Gym,Warm-up,Low,2,15m,--,Post. Chain Prep,⭐⭐,None,Balanced,Quick reach,Backward reach with low hips.,Link
5,Forward Skip (R),Gym,Warm-up,Low,2,20m,--,Rhythmic Coord.,⭐,None,Sync,High knee,Skipping while keeping ball at hip.,Link
6,Forward Skip (L),Gym,Warm-up,Low,2,20m,--,Rhythmic Coord.,⭐,None,Sync,High knee,Skipping while keeping ball at hip.,Link
7,Backward Skip (R),Gym,Warm-up,Low,2,15m,--,Rev. Elasticity,⭐⭐,None,Balanced,Explosive,Reverse skip for ankle stiffness.,Link
8,Backward Skip (L),Gym,Warm-up,Low,2,15m,--,Rev. Elasticity,⭐⭐,None,Balanced,Explosive,Reverse skip for ankle stiffness.,Link
9,Side Shuffle (R),Gym,Warm-up,Low,2,20m,--,Adductor Warm-up,⭐,None,Smooth,Quick click,Lateral slide with ball protection.,Link
10,Side Shuffle (L),Gym,Warm-up,Low,2,20m,--,Adductor Warm-up,⭐,None,Smooth,Quick click,Lateral slide with ball protection.,Link
11,Stat. High,Gym,Crossover,Low,3,--,30s,Power & Handle,⭐⭐,None,60 reps,85+ reps,Heavy shoulder-height dribbles.,Link
12,Stat. Medium,Gym,Crossover,Low,3,--,30s,Control Rhythm,⭐⭐,None,75 reps,100+ reps,Waist-height rhythmic dribbles.,Link
13,Stat. Low,Gym,Crossover,Low,3,--,30s,Finger Dexterity,⭐⭐⭐,None,90 reps,120+ reps,"Ankle-height ""machine gun"" dribbles.",Link
14,Pocket Pull (R-L),Gym,Crossover,Low,3,15r,--,Hand Quickness,⭐⭐⭐,None,1.0s/r,0.6s/r,Pulling ball to the hip pocket.,Link
15,Pocket Pull (L-R),Gym,Crossover,Low,3,15r,--,Hand Quickness,⭐⭐⭐,None,1.0s/r,0.6s/r,Pulling ball to the hip pocket.,Link
16,Cross Step Jab (R),Gym,Crossover,Med,4,10r,--,Ankle Stability,⭐⭐⭐,None,Sturdy,Twitchy,Jabbing foot while crossing over.,Link
17,Cross Step Jab (L),Gym,Crossover,Med,4,10r,--,Ankle Stability,⭐⭐⭐,None,Sturdy,Twitchy,Jabbing foot while crossing over.,Link
18,Shuffle Cross,Gym,Crossover,Med,3,20m,--,Active Footwork,⭐⭐⭐,None,Fluid,No heel-touch,Crossovers while lateral shuffling.,Link
19,Push Cross (R),Gym,Crossover,Med,4,10r,--,Burst Speed,⭐⭐⭐,None,<2.0s,<1.7s,Pushing ball out into a sprint.,Link
20,Push Cross (L),Gym,Crossover,Med,4,10r,--,Burst Speed,⭐⭐⭐,None,<2.0s,<1.7s,Pushing ball out into a sprint.,Link
21,Iverson Cross (R),Gym,Crossover,Med,4,8r,--,Deceleration,⭐⭐⭐⭐,#14,3ft Shift,5ft Shift,High float cross with a wide step.,Link
22,Iverson Cross (L),Gym,Crossover,Med,4,8r,--,Deceleration,⭐⭐⭐⭐,#14,3ft Shift,5ft Shift,High float cross with a wide step.,Link
