Rank,Exercise Name,Level,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,demo,env,sport,Description
1,Barbell Bench Press,Inter,Chest,High,4,5-8,--,120s,Upper Mass,⭐⭐⭐,Push-up,1x Bodyweight,1.5x BW,Standard horizontal press for mass.,Lie flat; lower bar to mid-chest; press up.,Watch Video,w_room,Weight Room,Standard horizontal press for mass.
2,Barbell Curl,Beg,Biceps,Low,3,10-12,--,60s,Arm Strength,⭐,None,Form Control,Strict Reps,Core isolation for bicep strength.,Grip shoulder-width; curl bar; keep elbows pinned.,Watch Video,w_room,Weight Room,Core isolation for bicep strength.
3,Back Squat,Inter,Quads,High,5,5,--,180s,Foundational,⭐⭐⭐,Body Squat,1.5x BW,2x BW,The foundational lower-body lift.,Bar on traps; sit back to parallel; drive up.,Watch Video,w_room,Weight Room,The foundational lower-body lift.
4,Deadlift,Inter,Hamstrings,Max,3,5,--,240s,Post. Chain,⭐⭐⭐,Hinge,1.5x BW,2.5x BW,Full-body pull for posterior chain.,Hinge to grip; pull close to shins to lockout.,Watch Video,w_room,Weight Room,Full-body pull for posterior chain.
5,Close-Grip Bench,Inter,Triceps,Med,3,8-10,--,90s,Tricep Mass,⭐⭐,Bench Press,Tricep Strength,Lockout Power,Tricep-focused bench variation.,Grip 6–8 in. apart; keep elbows tucked.,Watch Video,w_room,Weight Room,Tricep-focused bench variation.
6,Incline Bench,Inter,Chest,Med,3,8-10,--,90s,Upper Chest,⭐⭐,Bench Press,Chest Balance,Upper Pec Fill,Targets upper chest and shoulders.,Bench at 45°; lower bar to upper chest.,Watch Video,w_room,Weight Room,Targets upper chest and shoulders.
7,Barbell Sh. Press,Inter,Shoulders,High,4,6-8,--,120s,Overhead Power,⭐⭐⭐,Landmine Prs,0.75x BW,1x BW,Vertical press for overhead strength.,Press from chest to overhead; keep core tight.,Watch Video,w_room,Weight Room,Vertical press for overhead strength.
8,Bent Over Row,Beg,Back,Med,3,8-12,--,90s,Back Thickness,⭐⭐,None,Posture,Pull Strength,Builds back thickness and posture.,Hinge at 45°; pull bar to lower ribs.,Watch Video,w_room,Weight Room,Builds back thickness and posture.
9,Romanian Deadlift,Inter,Hamstrings,Med,3,10-12,--,90s,Hinge Pattern,⭐⭐,Deadlift,Hip Mobility,Hame String Size,Emphasizes hip hinge and stretch.,Hinge hips back; lower bar to mid-shin.,Watch Video,w_room,Weight Room,Emphasizes hip hinge and stretch.
10,Reverse BB Curl,Beg,Biceps,Low,3,12-15,--,60s,Forearm/Grip,⭐,None,Grip Strength,Arm Detail,Targets brachialis and forearms.,Overhand grip; curl while keeping wrists neutral.,Watch Video,w_room,Weight Room,Targets brachialis and forearms.
11,Barbell Hip Thrust,Inter,Glutes,Med,4,10-12,--,90s,Glute Power,⭐⭐,Bridge,Glute Active,Sprint Power,Maximum glute isolation and power.,Back on bench; bar on hips; drive up.,Watch Video,w_room,Weight Room,Maximum glute isolation and power.
12,Upright Row,Beg,Trapezius,Low,3,12-15,--,60s,Trap Growth,⭐,None,Shoulder Width,Trap Detail,Targets upper traps and lateral delts.,Pull bar to chin; elbows higher than wrists.,Watch Video,w_room,Weight Room,Targets upper traps and lateral delts.
13,SL Good Morning,Beg,Lower Back,Med,3,12-15,--,60s,Lower Back,⭐,Hinge,Back Health,Hamstring Flex,Hamstring and lower back flexibility.,Hinge with legs straight; keep back flat.,Watch Video,w_room,Weight Room,Hamstring and lower back flexibility.
14,Front Squat,Inter,Quads,High,4,6-8,--,120s,Core/Quads,⭐⭐⭐,Back Squat,Upright Torso,Quad Isolation,Emphasizes quads and core stability.,Rack bar on delts; keep elbows high.,Watch Video,w_room,Weight Room,Emphasizes quads and core stability.
15,Good Morning,Inter,Hamstrings,Med,3,8-12,--,90s,Post. Strength,⭐⭐,Hinge,Back Support,Hinge Strength,Posterior chain strengthener.,Bar on traps; hinge until torso is parallel.,Watch Video,w_room,Weight Room,Posterior chain strengthener.
16,Barbell Shrug,Beg,Trapezius,Low,3,15-20,--,60s,Trap Isolation,⭐,None,Trap Size,Posture,Isolates the upper trapezius muscles.,Hold bar; lift shoulders toward ears.,Watch Video,w_room,Weight Room,Isolates the upper trapezius muscles.
17,Decline Bench,Inter,Chest,Med,3,8-12,--,90s,Lower Chest,⭐⭐,Bench Press,Lower Pec Fill,Press Power,Focuses on lower pectoral fibers.,Bench at down angle; press from lower chest.,Watch Video,w_room,Weight Room,Focuses on lower pectoral fibers.
18,Push Press,Inter,Shoulders,High,4,5,--,120s,Explosive,⭐⭐⭐,Sh. Press,Athleticism,Overhead Power,Explosive overhead press using legs.,Dip knees; drive bar overhead with momentum.,Watch Video,w_room,Weight Room,Explosive overhead press using legs.
19,Bicep Drag Curl,Beg,Biceps,Low,3,12,--,60s,Peak Tension,⭐,BB Curl,Bicep Peak,Form Control,Constant tension isolation.,Drag bar up torso; pull elbows back.,Watch Video,w_room,Weight Room,Constant tension isolation.
20,Reverse Grip Row,Beg,Back,Med,3,10-12,--,60s,Lower Lats,⭐,BB Row,Lat Width,Underhand Power,Hits lower lats and biceps.,Underhand grip; pull bar to belly button.,Watch Video,w_room,Weight Room,Hits lower lats and biceps.
21,Barbell Lunge,Inter,Quads,Med,3,10ea,--,90s,Unilat. Power,⭐⭐,Body Lunge,Balance,Hip Stability,Unilateral leg strength and balance.,Step forward until back knee touches floor.,Watch Video,w_room,Weight Room,Unilateral leg strength and balance.
22,Seated Sh. Press,Inter,Shoulders,Med,3,8-10,--,90s,Pure Delts,⭐⭐,Sh. Press,Strict Power,Shoulder Mass,Removes leg drive for shoulder isolation.,Sit upright; press from chin to lockout.,Watch Video,w_room,Weight Room,Removes leg drive for shoulder isolation.
23,Bulgarian Split Sq,Inter,Quads,High,3,8ea,--,90s,Leg Imbalance,⭐⭐⭐,Lunge,Hip Strength,Quad Detail,Deep unilateral quad and glute work.,One foot back on bench; squat on front leg.,Watch Video,w_room,Weight Room,Deep unilateral quad and glute work.
24,Standing Calf Rise,Beg,Calves,Low,4,15-20,--,45s,Lower Leg,⭐,None,Calf Size,Ankle Health,Builds mass in the gastrocnemius.,Rise onto balls of feet; lower slowly.,Watch Video,w_room,Weight Room,Builds mass in the gastrocnemius.
25,BB Glute Bridge,Inter,Glutes,Med,3,12,--,60s,Glute Snap,⭐⭐,Bridge,Hip Drive,Floor Power,Power movement for glute activation.,Lie on floor; drive hips up; squeeze glutes.,Watch Video,w_room,Weight Room,Power movement for glute activation.
26,Kneeling Squat,Inter,Glutes,Low,3,15,--,60s,Glute Finish,⭐,None,Hip Extension,Glute Shape,Removes knee strain to isolate hips.,Kneel; sit on heels; drive hips forward.,Watch Video,w_room,Weight Room,Removes knee strain to isolate hips.
27,Rack Pulls,Inter,Lower Back,High,3,5-8,--,120s,Back Density,⭐⭐,Deadlift,Lockout Power,Trap Density,Partial deadlift for back thickness.,Pull from knee height; squeeze back.,Watch Video,w_room,Weight Room,Partial deadlift for back thickness.
28,Landmine Row,Beg,Back,Low,3,12,--,60s,Mid-Back,⭐,None,Back Health,Scap. Control,Pivoting row for mid-back thickness.,Straddle bar; pull end toward chest.,Watch Video,w_room,Weight Room,Pivoting row for mid-back thickness.
29,Barbell Step Up,Inter,Quads,Med,3,10ea,--,60s,Vertical Power,⭐⭐,Lunge,Jump Height,Leg Symmetry,Functional unilateral leg power.,Step onto box; drive through top heel.,Watch Video,w_room,Weight Room,Functional unilateral leg power.
30,Power Clean,Inter,Hamstrings,Max,5,3,--,180s,Explosive,⭐⭐⭐,Deadlift,Triple Ext.,Field Speed,Explosive full-body power movement.,"Pull from floor; ""catch"" bar on shoulders.",Watch Video,w_room,Weight Room,Explosive full-body power movement.
31,Australian Chin Up,Beg,Back,Low,3,12,--,60s,Pull Prep,⭐,None,Posture,Pullup Prep,Horizontal bodyweight pull.,Bar at waist; pull chest to bar at angle.,Watch Video,w_room,Weight Room,Horizontal bodyweight pull.
32,Sumo Deadlift,Inter,Hamstrings,Max,3,5,--,240s,Wide Pull,⭐⭐⭐,Deadlift,Glute Strength,Max Strength,Wide-stance pull for glutes and hams.,Wide stance; grip bar inside legs; drive floor.,Watch Video,w_room,Weight Room,Wide-stance pull for glutes and hams.
33,Floor Press,Inter,Chest,Med,3,8,--,90s,Lockout Power,⭐⭐,Bench Press,Shoulder Safe,Tricep Finish,Targets lockout and protects shoulders.,Lie on floor; lower until elbows touch floor.,Watch Video,w_room,Weight Room,Targets lockout and protects shoulders.
34,Pause Back Squat,Inter,Quads,High,4,5,--,150s,Power Out Hole,⭐⭐⭐,Back Squat,Control,Expl. Drive,Builds power out of the bottom position.,Squat to bottom; hold 2s; stand explosively.,Watch Video,w_room,Weight Room,Builds power out of the bottom position.
35,Incline Skull Crush,Inter,Triceps,Low,3,12,--,60s,Tricep Stretch,⭐,None,Arm Size,Long Head Dev,Stretches the long head of the tricep.,Incline bench; lower bar to head; extend.,Watch Video,w_room,Weight Room,Stretches the long head of the tricep.
36,Pause Incline Bench,Inter,Chest,Med,3,8,--,90s,Chest Power,⭐⭐,Incl. Bench,Stability,Max Tension,Removes momentum for upper chest power.,Pause bar on upper chest for 1s then press.,Watch Video,w_room,Weight Room,Removes momentum for upper chest power.
37,Pendlay Row,Inter,Back,High,4,6-8,--,120s,Expl. Pull,⭐⭐⭐,BB Row,Power,Back Density,Explosive row from a dead stop.,Back parallel to floor; row from ground.,Watch Video,w_room,Weight Room,Explosive row from a dead stop.
38,Inverted Row,Beg,Back,Low,3,12,--,60s,Bodyweight Pull,⭐,None,Posture,Pullup Prep,Bodyweight back builder.,Pull chest to bar while hanging; keep straight.,Watch Video,w_room,Weight Room,Bodyweight back builder.
39,Clean,Inter,Hamstrings,Max,5,2,--,180s,Olympic Lift,⭐⭐⭐,Power Clean,Triple Ext.,Elite Power,Full Olympic transition to front rack.,Pull from floor; catch in deep front squat.,Watch Video,w_room,Weight Room,Full Olympic transition to front rack.
40,Pulse Back Squat,Inter,Quads,Med,3,12,--,90s,Tension,⭐⭐,Back Squat,Endurance,Muscle Pump,Increases time under tension.,Bounce small at bottom before rising.,Watch Video,w_room,Weight Room,Increases time under tension.
41,Barbell Ab Rollout,Inter,Abs,High,3,10,--,90s,Core Stability,⭐⭐⭐,Plank,Anti-Extens.,Core Shield,Extreme core stability movement.,Roll out until flat; pull back using abs.,Watch Video,w_room,Weight Room,Extreme core stability movement.
