#,Env.,Category,Exercise Name,Detailed Description,Sets,Reps/Dist.,HS Goals,College Goals,Stars
1,Field,Warm-up,High/Low Walking (R),Lateral walking with center of mass shifts.,2,20m,Fluid height transitions.,"Zero torso sway; deep ""lows"".",⭐
2,Field,Warm-up,High/Low Walking (L),Lateral walking with center of mass shifts.,2,20m,Maintain heel-to-toe contact.,Perfect pelvic alignment.,⭐
3,Field,Warm-up,High/Low Backpedal (R),Reverse movement with vertical shifts.,2,15m,Reach 3ft back per step.,Explosive reach; stay on forefoot.,⭐⭐
4,Field,Warm-up,High/Low Backpedal (L),Reverse movement with vertical shifts.,2,15m,45° forward lean maintained.,"Max eccentric control in ""low"".",⭐⭐
5,Field,Warm-up,Forward Skip (R),Rhythmic skip with ball at hip pocket.,2,20m,Ball stays pinned at hip.,High frequency; 12 skips/20m.,⭐
6,Field,Warm-up,Forward Skip (L),Rhythmic skip with ball at hip pocket.,2,20m,Knee to 90° on every drive.,Aggressive foot strike under hip.,⭐
7,Field,Warm-up,Backward Skip (R),Reverse skip for ankle elasticity.,2,15m,"Find balance; ""reach"" with toe.",High frequency; explosive toe-off.,⭐⭐
8,Field,Warm-up,Backward Skip (L),Reverse skip for ankle elasticity.,2,15m,Stay tall; no backward leaning.,Fluid reverse-elasticity rhythm.,⭐⭐
9,Field,Warm-up,Side Shuffle (R Hand),Lateral shuffle; ball in right hand.,2,20m,Low base; no heel clicking.,20m in < 5.5s.,⭐
10,Field,Warm-up,Side Shuffle (L Hand),Lateral shuffle; ball in left hand.,2,20m,Hips square to the sideline.,20m in < 5.0s.,⭐
11,Field,Crossover,Stationary High,High-intensity power dribbling.,3,30 sec,Shoulder height; 60 reps/set.,Chin height; 85+ reps/set.,⭐⭐
12,Field,Crossover,Stationary Medium,Controlled rhythmic dribbling.,3,30 sec,Hip height; 80 reps/set.,Power dribble; 100+ reps/set.,⭐⭐
13,Field,Crossover,Stationary Low,Fingertip dribbling at ankle height.,3,30 sec,Ankle height; 100 reps/set.,"""Butterfly"" speed; 130+ reps.",⭐⭐⭐
14,Field,Crossover,Pocket Pull (R to L),Pulling ball back into the hip pocket.,3,15 reps,1.0s per complete pull.,"< 0.6s; ball ""disappears"" at hip.",⭐⭐⭐
15,Field,Crossover,Pocket Pull (L to R),Pulling ball back into the hip pocket.,3,15 reps,Hand on top of ball; no carry.,"Elite ""hang"" time; zero carry.",⭐⭐⭐
16,Field,Crossover,Cross Step Jab (R),Jab opposite the ball hand to freeze D.,4,10 ea.,Jab covers 2ft lateral.,Jab covers 4ft+; explosive.,⭐⭐⭐
17,Field,Crossover,Cross Step Jab (L),Jab opposite the ball hand to freeze D.,4,10 ea.,Head fake follows the jab.,"Hip ""dip"" matches jab distance.",⭐⭐⭐
18,Field,Crossover,Continuous Shuffle Cross,Lateral shuffling with low crossovers.,3,20m,Keep ball below knee level.,20m in < 6.0s (full control).,⭐⭐⭐
19,Field,Crossover,Push Crossover (R),Aggressive forward push of the ball.,4,10 reps,Burst 5m in < 1.2s post-move.,Burst 5m in < 0.95s post-move.,⭐⭐⭐
20,Field,Crossover,Push Crossover (L),Aggressive forward push of the ball.,4,10 reps,"Clean ""push"" out in front.",Max extension of the off-arm.,⭐⭐⭐
21,Field,Crossover,Iverson Cross (R to L),"Wide, high-float crossover.",4,8 reps,Lateral shift covers 3ft.,Lateral shift 5ft+; 1s float.,⭐⭐⭐⭐
22,Field,Crossover,Iverson Cross (L to R),"Wide, high-float crossover.",4,8 reps,Shoulders dip to ball level.,Elite deceleration into cross.,⭐⭐⭐⭐
23,Field,Crossover,Trae Young Pullback (R),Hard stop into a high-reach pullback.,4,10 reps,Create 3ft of space.,Create 6ft+; 0.5s snap-back.,⭐⭐⭐⭐
24,Field,Crossover,Trae Young Pullback (L),Hard stop into a high-reach pullback.,4,10 reps,Feet square immediately.,Immediate shot-pocket readiness.,⭐⭐⭐⭐
25,Field,Crossover,Double Tap (R),Two rapid taps before the cross.,3,12 reps,0.4s between taps.,"0.2s; ""machine gun"" rhythm.",⭐⭐⭐
26,Field,Crossover,Double Tap (L),Two rapid taps before the cross.,3,12 reps,Consistent ankle-height dribble.,Fingertip-only control.,⭐⭐⭐
27,Field,Crossover,V-Dribble (R),One-hand wide side-to-side dribble.,3,20 reps,15-inch width.,30-inch+ width; extreme angle.,⭐⭐
28,Field,Crossover,V-Dribble (L),One-hand wide side-to-side dribble.,3,20 reps,Consistent rhythm.,Break rhythm (slow-fast-slow).,⭐⭐
29,Field,Crossover,Shammgod (R to L),"Throw ball out, snatch back with opposite.",4,8 reps,No fumbles on the snatch.,Sell drive; snatch in < 0.3s.,⭐⭐⭐⭐⭐
30,Field,Crossover,Shammgod (L to R),"Throw ball out, snatch back with opposite.",4,8 reps,Reach across the midline.,Violent snatch back to center.,⭐⭐⭐⭐⭐
31,Field,Combo,Pound Cross,Power dribble into immediate cross.,3,15 reps,1.0s per combo.,< 0.7s per combo; max force.,⭐⭐⭐
32,Field,Combo,Between-Cross-Front,Multi-move sequencing.,4,10 reps,Fluid motion; no extra steps.,< 1.2s per full sequence.,⭐⭐⭐⭐
33,Field,Combo,Pound-Between,Power dribble into between-the-legs.,3,15 reps,Knee height on the exchange.,Shins low; 0.6s per combo.,⭐⭐⭐
34,Field,Combo,Inside Out-Cross,Deceptive in-out into a crossover.,4,10 reps,Sell in-out with eyes.,Violent hip-shift on cross.,⭐⭐⭐⭐
35,Field,Between Legs,Stationary (No Feet),Static exchange through legs.,3,30 sec,45 reps/set.,70+ reps/set; ball is a blur.,⭐⭐
