#,Environment,Category,Exercise Name,Equipment / Focus,Sets,Reps/Dist.,Primary Focus,Fitness Stars
1,Field,Warm-up,High/Low Walking (R),Bodyweight/Space,2,20m,Dynamic Mobility,⭐
2,Field,Warm-up,High/Low Walking (L),Bodyweight/Space,2,20m,Dynamic Mobility,⭐
3,Field,Warm-up,High/Low Backpedal (R),Space/Balance,2,15m,Posterior Chain Prep,⭐⭐
4,Field,Warm-up,High/Low Backpedal (L),Space/Balance,2,15m,Posterior Chain Prep,⭐⭐
5,Field,Warm-up,Forward Skip (R),Ball at hip,2,20m,Rhythmic Coordination,⭐
6,Field,Warm-up,Forward Skip (L),Ball at hip,2,20m,Rhythmic Coordination,⭐
7,Field,Warm-up,Backward Skip (R),Balance,2,15m,Reverse Elasticity,⭐⭐
8,Field,Warm-up,Backward Skip (L),Balance,2,15m,Reverse Elasticity,⭐⭐
9,Field,Warm-up,Side Shuffle (R Hand),Space/Lateral,2,20m,Adductor Warm-up,⭐
10,Field,Warm-up,Side Shuffle (L Hand),Space/Lateral,2,20m,Adductor Warm-up,⭐
11,Field,Crossover,Stationary High,Dribble Height,3,30 sec,Power & Handle,⭐⭐
12,Field,Crossover,Stationary Medium,Dribble Height,3,30 sec,Control Rhythm,⭐⭐
13,Field,Crossover,Stationary Low,Dribble Height,3,30 sec,Finger Dexterity,⭐⭐⭐
14,Field,Crossover,Pocket Pull (R to L),Ball Control,3,15 reps,Hand Quickness,⭐⭐⭐
15,Field,Crossover,Pocket Pull (L to R),Ball Control,3,15 reps,Hand Quickness,⭐⭐⭐
16,Field,Crossover,Cross Step Jab (R),Deception,4,10 ea.,Ankle Stability,⭐⭐⭐
17,Field,Crossover,Cross Step Jab (L),Deception,4,10 ea.,Ankle Stability,⭐⭐⭐
18,Field,Crossover,Continuous Shuffle Cross,Agility,3,20m,Active Footwork,⭐⭐⭐
19,Field,Crossover,Push Crossover (R),Attacking,4,10 reps,Burst Speed,⭐⭐⭐
20,Field,Crossover,Push Crossover (L),Attacking,4,10 reps,Burst Speed,⭐⭐⭐
21,Field,Crossover,Iverson Cross (R to L),Lateral Shift,4,8 reps,Deceleration,⭐⭐⭐⭐
22,Field,Crossover,Iverson Cross (L to R),Lateral Shift,4,8 reps,Deceleration,⭐⭐⭐⭐
