Rank,Exercise Name,Level,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,Demo,env
1,Bicep Curl,Beg,Biceps,Low,3,12,--,45s,Bicep Peak,⭐,None,Size,Definition,Standard bicep isolation.,Palms forward; curl to shoulders; elbows pinned.,🎥,w_room
2,Hammer Curl,Beg,Biceps,Low,3,12,--,45s,Long Head,⭐,None,Forearm Mass,Width,Targets brachialis and forearm width.,"Neutral grip; curl ""thumb-up"" to shoulder.",🎥,w_room
3,Dumbbell Row,Beg,Back,Med,3,10ea,--,60s,Lat Thickness,⭐⭐,None,Posture,Pull Strength,Unilateral back builder.,One hand on bench; pull weight to hip.,🎥,w_room
4,Bench Press,Beg,Chest,Med,4,10,--,90s,Chest Mass,⭐⭐,Push Up,Force Prod.,Stability,Stable compound chest press.,Lie flat; press weights; elbows at 45°.,🎥,w_room
5,Shoulder Press,Beg,Shoulders,Med,3,10,--,60s,Vertical Pow,⭐⭐,None,Press Volume,Sh. Health,Overhead deltoid development.,Press from ear level to overhead; core tight.,🎥,w_room
6,Dumbbell Fly,Beg,Chest,Low,3,12,--,45s,Chest Stretch,⭐,Bench Press,Flexibility,Pec Detail,Isolates pectorals via a wide arc.,"Lower in arc until stretch; ""hug"" to center.",🎥,w_room
7,Skullcrusher,Inter,Triceps,Low,3,12,--,45s,Tri Isolation,⭐,None,Arm Size,Lockout Pow,Targets the tricep long head.,Lie on bench; lower to forehead; extend.,🎥,w_room
8,Front Raise,Beg,Shoulders,Low,3,12,--,30s,Ant. Delt,⭐,None,Front Cap,Sh. Shape,Isolate the front shoulder.,Raise to shoulder height; do not swing.,🎥,w_room
9,Seated Tri Press,Beg,Triceps,Low,3,12,--,45s,Long Head Ext,⭐,None,Arm Mass,Tricep Depth,Overhead tricep extension.,Sit; hold DB overhead; lower behind head.,🎥,w_room
10,Incline Bench,Inter,Chest,Med,3,10,--,60s,Upper Pec,⭐⭐,Bench Press,Front Delt,Upper Fill,Targets the clavicular head.,Bench at 45°; press from upper chest.,🎥,w_room
11,Dumbbell Lunge,Beg,Quads,Med,3,12ea,--,60s,Unilat. Legs,⭐⭐,Lunge,Balance,Step Power,Weighted lower body strength.,Step forward; back knee to floor; shin vertical.,🎥,w_room
12,Rear Delt Raise,Beg,Shoulders,Low,3,15,--,30s,Post. Chain,⭐,None,Posture,Sh. Health,Isolates back of the shoulder.,Hinge forward; pull weights out like wings.,🎥,w_room
13,Bent Over Row,Inter,Back,High,3,10,--,60s,Back Density,⭐⭐,DB Row,Bracing,Total Pull,Bilateral back thickness builder.,Hinge at hips; pull to waist; flat back.,🎥,w_room
14,Kickbacks,Beg,Triceps,Low,3,15ea,--,30s,Tri Squeeze,⭐,None,Definition,Detail,Focuses on the tricep contraction.,Hinge; elbow high; extend arm straight back.,🎥,w_room
15,Romanian DL,Inter,Hamstrings,High,3,12,--,60s,Posterior Pow,⭐⭐⭐,Hinge,Ham. Stretch,Hip Snap,Foundational hip-hinge movement.,Hinge at hips; slide weights down legs.,🎥,w_room
16,Shoulder Raise,Beg,Shoulders,Low,3,15,--,30s,Lat. Delt,⭐,None,Width,Sh. Cap,Medial deltoid isolation.,Raise to sides; lead with elbows.,🎥,w_room
17,Seated Curl,Beg,Biceps,Low,3,12,--,45s,Strict Bicep,⭐,Bicep Curl,No Momentum,Peak Dev.,Removes leg drive from the curl.,Sit; perform curl; rotate wrists at top.,🎥,w_room
18,Dumbbell Squat,Beg,Quads,Med,3,15,--,60s,Leg Foundation,⭐⭐,Body Squat,Depth,Quad Volume,Beginner-friendly weighted squat.,Hold weights at sides; sit back on heels.,🎥,w_room
19,Concentrat. Curl,Beg,Biceps,Low,3,12ea,--,30s,Peak Isolation,⭐,Bicep Curl,Bicep Shape,Detail,Focuses on the bicep peak.,Sit; brace elbow on thigh; curl upward.,🎥,w_room
20,Dumbbell Shrug,Beg,Trapezius,Low,3,15,2s Hold,45s,Trap Height,⭐,None,Neck Health,Trapezius Dev,Upper trap isolation.,Hold at sides; lift shoulders to ears.,🎥,w_room
21,Arnold Press,Inter,Shoulders,Med,3,10,--,60s,Full Delt,⭐⭐,Sh. Press,Range of Mot.,Sh. Health,Rotational overhead press.,Start palms in; rotate palms out as you press.,🎥,w_room
22,Squat to Press,Inter,Full Body,High,4,10,--,90s,Full Power,⭐⭐⭐,Squat,Coordination,Athleticism,Explosive full-body movement.,Squat; use momentum to press overhead.,🎥,w_room
23,Lateral Raise,Beg,Shoulders,Low,3,15,--,30s,Side Delt,⭐,None,Width,Sh. Width,"Builds the ""cap"" of the shoulder.",Lift to sides; micro-bend in elbows.,🎥,w_room
24,Incline Curl,Inter,Biceps,Low,3,12,--,45s,Bicep Stretch,⭐,Bicep Curl,Range of Mot.,Long Head Dev,Increases the stretch on the bicep.,Sit on incline; let arms hang; curl up.,🎥,w_room
25,Single Leg RDL,Inter,Hamstrings,High,3,10ea,--,60s,Balance/Hame,⭐⭐⭐,RDL,Ankle Stab.,Hip Control,Unilateral posterior chain work.,Balance on one leg; hinge; non-standing leg back.,🎥,w_room
26,Upright Row,Beg,Trapezius,Low,3,12,--,45s,Upper Back,⭐,None,Trap Growth,Sh. Volume,Pulls for traps and side delts.,Pull to chin; elbows pointing high.,🎥,w_room
27,1-Arm Tri Ext,Beg,Triceps,Low,3,12ea,--,30s,Symmetry,⭐,Tri Press,Balance,Unilat. Detail,Single-arm tricep isolation.,One weight overhead; lower behind head.,🎥,w_room
28,Cross Body Curl,Beg,Biceps,Low,3,12ea,--,45s,Brachialis,⭐,Hammer Curl,Bicep Peak,Forearm Str,Hits the outer bicep and brachialis.,Curl across chest toward opposite shoulder.,🎥,w_room
29,Sumo Squat,Beg,Glutes/Quads,Med,3,15,--,60s,Inner Thigh,⭐⭐,Squat,Hip Mobility,Adductor Str,Wide-stance squat variation.,Wide stance; toes out; hold weights between legs.,🎥,w_room
30,Back Fly,Inter,Shoulders,Low,3,15,--,45s,Rear Delt,⭐,None,Posture,Scap. Stability,Chest-supported rear delt work.,Lean on incline bench; reverse fly motion.,🎥,w_room
31,Incline Fly,Inter,Chest,Low,3,12,--,45s,Upper Pec Iso,⭐⭐,DB Fly,Upper Stretch,Pec Fibers,Targets upper chest fibers.,Bench at 45°; perform wide fly motion.,🎥,w_room
32,Curl to Press,Inter,Shoulders,Med,3,12,--,60s,Coordination,⭐⭐,Bicep Curl,Fluidity,Combo Move,Bicep and shoulder compound move.,Bicep curl then transition into overhead press.,🎥,w_room
33,Tricep Extension,Beg,Triceps,Low,3,12,--,45s,Overhead Ext,⭐,None,Arm Size,Tricep Shape,Bilateral overhead tricep work.,Hold one DB; lower behind neck; extend up.,🎥,w_room
34,Squeeze Press,Inter,Chest,Med,3,10,--,60s,Inner Pec,⭐⭐,Bench Press,Chest Tension,Pec Squeeze,Constant tension chest press.,Press weights together; perform bench press.,🎥,w_room
