number,Category,Exercise Name,Description,Enviroment,CNS,Sets,Reps,Time,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,demo,Equipment,sport,Exercise Name,Description,Proper Form
1,Footwork,Shuffle Step,Instep to instep; point toward throw.,Field,Low,3,10r,--,Lat. Alignment,⭐,None,Fluid; no click,Sub-1.5s release,Watch Demo,Glove/ Ball,sofrball/ baseball,Shuffle Step,Instep to instep; point toward throw.,Stay low; replace feet quickly without crossing. Keep momentum moving toward the target.
2,Footwork,Instep Kick,Kick throwing foot instep over glove.,Field,Low,3,10r,--,Momentum Trans,⭐⭐,https://www.google.com/search?q=%231,Target on line,65+ MPH Velo,Watch Demo,Glove/ Ball,sofrball/ baseball,Instep Kick,Kick throwing foot instep over glove.,Drive back foot through the ball's location to create direction and power for the throw.
3,Footwork,Power Step,Instep to ball; move around ball.,Field,Med,3,10r,--,Force Prod.,⭐⭐⭐,https://www.google.com/search?q=%232,Clean trans.,Pro-Step Mech,Watch Demo,Glove/ Ball,sofrball/ baseball,Power Step,Instep to ball; move around ball.,Step to the side of the ball to create an angle that leads your body toward first base.
4,Footwork,Jam Step,Backhand; glove foot steps with ball.,Field,Med,3,12r,--,Depth Control,⭐⭐⭐,None,50 MPH Fungo,65+ MPH Pick,Watch Demo,Glove/ Ball,sofrball/ baseball,Jam Step,Backhand; glove foot steps with ball.,"Sync glove foot landing with the ball entering the glove to ""jam"" momentum for a quick stop."
5,Footwork,Open Step,Opening hips to reach wide lateral.,Field,Low,3,8r,--,Mobility/Reach,⭐⭐⭐,None,Balanced hold,Full ext. reach,Watch Demo,Glove/ Ball,sofrball/ baseball,Open Step,Opening hips to reach wide lateral.,Pivot on lead foot and open hips 90° to track balls deep in the hole or gap.
6,Footwork,Jump Turn (In),Air-born foot replacement (Inside).,Field,High,4,8r,--,Quick Trans.,⭐⭐⭐⭐,https://www.google.com/search?q=%231,<0.8s Turn,<0.5s Turn,Watch Demo,Glove/ Ball,sofrball/ baseball,Jump Turn (In),Air-born foot replacement (Inside).,Replace feet in the air turning toward the glove side. Land balanced and ready to fire.
7,Footwork,Jump Turn (Out),Air-born foot replacement (Outside).,Field,High,4,8r,--,Directional,⭐⭐⭐⭐,https://www.google.com/search?q=%236,Clear lane,Elite control,Watch Demo,Glove/ Ball,sofrball/ baseball,Jump Turn (Out),Air-born foot replacement (Outside).,Replace feet while turning toward the hand side (spin). Stay low to maintain balance.
8,Throws,Long Throw,Full arm path; thumb to thigh circle.,Field,High,3,15r,--,Max Distance,⭐⭐⭐,None,150ft accuracy,200ft+ Rope,Watch Demo,Glove/ Ball,sofrball/ baseball,Long Throw,Full arm path; thumb to thigh circle.,Break hands at midsection; thumb circles down toward thigh for full extension and power.
9,Throws,Short Snap,Shortened arc; thumb to waist snap.,Field,Low,4,15r,--,Quick Release,⭐⭐,None,<0.6s Release,<0.4s Release,Watch Demo,Glove/ Ball,sofrball/ baseball,Short Snap,Shortened arc; thumb to waist snap.,Keep ball above waist. Rapid elbow extension with a heavy wrist flick for quick release.
10,Throws,Bow & Arrow,Tight load; thumb to ear (Catcher).,Field,Med,4,12r,--,Accuracy,⭐⭐,None,Chest height,Sub-1.8s Pop,Watch Demo,Glove/ Ball,sofrball/ baseball,Bow & Arrow,Tight load; thumb to ear (Catcher).,Pull ball straight back to the ear. Elbow stays high and the path stays extremely short.
