Category,#,Exercise,Detailed Description,Sets,Reps/Dist.,Primary Focus,Stars,High School Goals (Time/Dist.),College Goals (Time/Dist.)
Warm-Up: Mobility,1,Leg Swings,Linear and lateral swings to open hip capsule.,2,10 ea.,Hip Joint Mobility,⭐,90° range; upright torso.,>110° range; zero sway.
,2,Walking Knee Hugs,Pull knee to chest on toes.,2,10-15m,Glute Activation,⭐,Balanced hold for 1s.,Explosive pull; no wobble.
,3,Cradle Walks,Rotate knee/hip to pull shin to chest.,2,10-15m,External Hip Rotation,⭐⭐,Shin parallel to ground.,Toe-up balance throughout.
,4,Spiderman w/ Reach,Lunge with thoracic rotation.,2,5 ea.,Hip & T-Spine Mobility,⭐⭐,Elbow to instep.,Elbow to floor; fluid reach.
,5,Frankenstein Walks,Kick feet to opposite hands.,2,15m,Hamstring Flexibility,⭐,Reach 90° consistently.,"Fast ""snap"" down to track."
,6,Inchworms,"Hinge, walk hands to plank, walk feet in.",2,5-8 reps,Posterior Chain Stretch,⭐⭐,"Feet walk to within 12"" of hands.",Feet touch palms; legs locked.
,7,Lateral Lunges,"Step wide, sink hips back.",2,8 ea.,Adductor Mobility,⭐⭐,Thigh parallel to floor.,Hip crease below knee level.
Warm-Up: CNS,8,Pogo Jumps,Rapid vertical hops using ankles.,3,15-20 reps,Ankle Stiffness,⭐⭐,< 0.20s Ground Contact.,< 0.16s Ground Contact.
,9,A-March,High-knee walking with arm drive.,3,20m,Proper Running Posture,⭐⭐,Piston-like foot strike.,Max frequency; rigid torso.
,10,B-Skips,"High-knee skip with active ""clawing.""",3,20m,Hamstring Recruitment,⭐⭐⭐,"Audible ""strike"" under hip.","""Claw"" covers 2m per skip."
,11,Fast Leg Cycles,"Rapid single-leg ""cycling"" in air.",3,10m,Frequency & Turnover,⭐⭐⭐,Smooth circular path.,"Elite ""piston"" speed."
,12,Build-Ups,Gradual accel sprints (60-95%).,3,40m,Neural Priming,⭐⭐⭐,90% speed by 30m.,98% speed by 35m.
Track: Accel.,13,Ankle Dribbles,"Small, fast steps over the ankle.",3,20m,Quick Ground Contact,⭐⭐,20m in < 4.8s.,20m in < 4.1s.
,14,A-Skips (Speed),Aggressive skipping; driving foot down.,3,20m,Vertical Force,⭐⭐⭐,"Focus on ""loud"" ground hits.",Max power; 0.18s contact.
,15,Wicket Walkovers,Stepping over 6-12 inch hurdles.,3,10 hurdles,Pelvic Alignment,⭐⭐⭐,No hip dipping.,Knee above hurdle at all times.
,16,Low-Speed Wickets,Running over mini-hurdles (~80% speed).,4,10 wickets,Stride Mechanics,⭐⭐⭐,1.6m – 1.8m spacing.,1.9m – 2.1m spacing.
,17,Speed Skips (H),Skipping for maximum height.,3,20m,Vertical Power,⭐⭐⭐,Clear 2.5ft height/skip.,Clear 3.5ft+ height/skip.
,18,Speed Skips (D),Skipping for maximum distance.,3,30m,Horizontal Power,⭐⭐⭐,Cover 30m in 12-14 skips.,Cover 30m in < 10 skips.
,19,Wall Drive Accels,"45° lean, rapid high-knee drives.",5,10 sec,Acceleration Angle,⭐⭐⭐,Maintain 45° angle.,Piston frequency > 4Hz.
,20,Hill Sprints (S),"Short, steep uphill sprints.",6-8,20m,Drive Phase Power,⭐⭐⭐⭐,Sub 4.3s (15% grade).,Sub 3.9s (15% grade).
,21,Falling Starts,"Lean forward until ""falling"" into sprint.",5,15m,Weight Distribution,⭐⭐⭐,10m split: 1.95s – 2.10s.,10m split: 1.75s – 1.85s.
,22,3-Point Starts,"One hand on ground, drive out.",5-6,20-30m,Explosive Exit,⭐⭐⭐⭐,10m split: 1.85s – 1.95s.,10m split: 1.65s – 1.75s.
,23,Light Sled Push,Pushing 10-20% body weight.,4-6,15-20m,Horizontal Force,⭐⭐⭐⭐,Maintain drive lean.,Sub 3.5s for 15m.
Track: Max V,24,Straight-Leg Bounds,"""Prime Times""—glute-driven snap down.",3,30m,Ground Force,⭐⭐⭐,Toes up; rigid legs.,Cover 30m in < 15 bounds.
,25,Prog. Wickets,Hurdles spaced further for top speed.,4-5,15-20 wkts,Stride Length,⭐⭐⭐⭐,1.8m – 2.0m spacing.,2.2m – 2.4m spacing.
,26,Wicket Flys,Max speed over wickets after build-up.,4,40m,Max Velocity,⭐⭐⭐⭐⭐,0.12s – 0.14s between wkts.,0.10s – 0.11s between wkts.
,27,Flying 30s,Max speed for 30m after build-up.,3-5,20m build,Absolute Top Speed,⭐⭐⭐⭐⭐,30m Fly: 3.40s – 3.60s.,30m Fly: 3.00s – 3.15s.
,28,Ins-and-Outs,20m Max / 20m Float / 20m Max.,4,60m,Speed Maintenance,⭐⭐⭐⭐⭐,< 7.2s total (from fly).,< 6.4s total (from fly).
,29,Gradual Hill Sprints,"Long, shallow hills for power-endurance.",5,50-60m,Speed Endurance,⭐⭐⭐⭐,100% effort; maintain form.,Sub 8.5s for 60m.
,30,Moderate Sled Push,Heavier sled for explosive steps.,5,10m,Specific Strength,⭐⭐⭐⭐,Consistent piston drive.,Sub 2.8s for 10m.
,31,Sprint-Float-Sprint,30m zones to build speed capacity.,3-4,90m,Relaxed Velocity,⭐⭐⭐⭐,< 11.2s total (90m).,< 10.0s total (90m).
,32,Curve Wickets,Wickets on the bend/curve.,4,10 wickets,Centrifugal Tech,⭐⭐⭐⭐,Lean into the curve.,Maintain Max V spacing.
,33,Sprint Reps,120-150m at 90-95% intensity.,3-4,Full Rest,Lactate Threshold,⭐⭐⭐⭐⭐,150m: 18.5s – 19.5s.,150m: 16.0s – 16.8s.
,34,Tempo Strides,"70% intensity, perfect mechanics.",8-10,100m,Aerobic Recovery,⭐⭐⭐,100m: 15.5s – 17.0s.,100m: 13.5s – 14.5s.
Weight Room,35,Power Clean,Explosive lift to shoulders.,3-5,2-3 reps,Triple Extension,⭐⭐⭐⭐⭐,1.0x Bodyweight (BW).,1.3x BW.
,36,Snatch,Floor to overhead in one motion.,3-4,2 reps,Rate of Force,⭐⭐⭐⭐⭐,0.75x BW.,1.0x BW.
,37,Back Squat,Heavy squat for absolute force.,3-5,3-5 reps,Absolute Strength,⭐⭐⭐⭐,1.3x BW for 5 reps.,1.8x BW for 5 reps.
,38,Front Squat,"Upright torso, quad dominant.",3-4,4-6 reps,Anterior Strength,⭐⭐⭐⭐,1.1x BW for 5 reps.,1.5x BW for 5 reps.
,39,Nordic Curls,Eccentric hamstring lowering.,3,5-8 reps,Injury Prevention,⭐⭐⭐⭐,3s controlled descent.,5s+ descent / unassisted.
,40,Single-Leg Squat,Squat on one leg for stability.,3,6-8 ea.,Unilateral Balance,⭐⭐⭐,Thigh to parallel.,Weighted (20lb+) to depth.
,41,Bulgarian Split,Rear foot elevated split squat.,3,8-10 reps,Hip Mobility/Str,⭐⭐⭐,0.5x BW added load.,1.0x BW added load.
,42,Skater Squats,"Single-leg squat, knee to floor.",3,8 reps,Lateral Stability,⭐⭐⭐,Clean touch; no hands.,Weighted; 5s tempo down.
,43,RDL,Hinge at hips to target hamstrings.,3-4,8-10 reps,Posterior Chain,⭐⭐⭐,1.0x BW for 10 reps.,1.5x BW for 10 reps.
,44,Hip Thrusts,Weighted bridge for glute force.,3-4,6-10 reps,Horizontal Strength,⭐⭐⭐,1.5x BW for 10 reps.,2.5x BW for 10 reps.
,45,Box Jumps,Jump onto high box.,4,3-5 reps,Explosive Power,⭐⭐⭐,"28"" – 32"" Box.","40"" – 44""+ Box."
,46,Med-Ball Throws,Throw for height or distance.,4,5 throws,Explosive Core,⭐⭐⭐,10lb Ball / 15m Dist.,12lb Ball / 20m Dist.
,47,Farmer Carries,Heavy walk to build core strength.,3,40m,Anti-Rotational,⭐⭐⭐,0.6x BW per hand.,1.0x BW per hand.
,48,Calf/Tibialis,Front/back lower leg strength.,3,15-20 reps,Force Transfer,⭐⭐,20 reps Bodyweight.,Weighted / 3s isometric.
,49,Hanging Knee Raises,Lift knees to chest from bar.,3,10-15 reps,Deep Hip Flexors,⭐⭐,Controlled; no swinging.,Knees to elbows.
,50,Plank Holds,Isometric hold for rigid torso.,3,45-60 sec,Core Stability,⭐⭐,Perfect flat spine.,Weighted (45lb) for 60s.
