Rank,Exercise Name,Level,Env.,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest Time,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,Demo,env
1,Kneeling Row,Beg,All,Back,Low,3,12ea,--,45s,Unilat. Pull,⭐,None,Flat Back,Scap. Control,Targets back independently to fix imbalances.,Kneel; anchor band with foot; row with opposite hand.,🎥,all
2,Glute Bridge,Beg,All,Hamstrings,Low,3,15,30s Hold,30s,Post. Chain,⭐,None,Hip Extension,Glute Active,Performed as a hold/rep to recruit hip stabilizers.,Lie on back; band above knees; lift hips high.,🎥,all
3,Fire Hydrant,Beg,All,Glutes,Low,3,15ea,--,30s,Glute Medius,⭐,None,Core Stability,Hip Mobility,Isolation movement targeting glutes via lateral lift.,On all fours; band above knees; lift leg out to side.,🎥,all
4,SL RDL w/ Row,Beg,All,Back,High,3,10ea,--,60s,Balance/Pull,⭐⭐⭐,RDL Form,Ankle Stability,CNS Integration,Combines hinge balance with a row for posture.,Balance on one leg; hinge; row at the bottom.,🎥,all
5,Glute Thrust,Beg,All,Hamstrings,Med,3,12,--,45s,Power Ext.,⭐⭐,Bridge,Snap Hips,Power Output,Amplifies bridge benefits by adding explosive resistance.,Explosive hip extension against band tension.,🎥,all
6,Standing Hip Ext,Beg,All,Glutes,Low,3,15ea,--,30s,Glute Max,⭐,None,No Back Arch,Postural Hold,Standing isolation extending leg out behind you.,Band at ankles; kick leg back; keep torso upright.,🎥,all
7,Tricep Press,Beg,All,Triceps,Low,3,12ea,--,30s,Arm Isolation,⭐,None,Full Lockout,Muscle Tone,Portable way to target triceps through full range.,One hand at shoulder; other presses down to lockout.,🎥,all
8,Hip Thrust,Beg,All,Glutes,Med,4,12,--,60s,Peak Glute,⭐⭐,Bridge,Knee Alignment,Max Contract,Compound move using band for hip abduction.,Shoulders on bench; drive hips; push knees out.,🎥,all
9,Overhead Fly,Beg,All,Shoulders,Low,3,15,--,30s,Rear Delt,⭐,None,Shoulder Health,Scap. Stability,Targets deltoids and upper back for aesthetics.,"Hold band overhead; pull arms out into a ""Y.""",🎥,all
10,Lateral Walk,Beg,All,Abductors,Med,3,15ea,--,45s,Lat. Stability,⭐⭐,Squat Form,Knee Tracking,Lateral Speed,Challenges hip abduction and lateral stability.,Band at ankles; half-squat; step sideways.,🎥,all
11,Kneeling Curl,Beg,All,Biceps,Low,3,12ea,--,30s,Bicep Iso,⭐,None,Still Elbows,Peak Tension,Isolates biceps while engaging kneeling core.,Kneel; anchor band under knee; curl to shoulder.,🎥,all
12,Mini Band Squat,Beg,All,Quads,Med,3,15,--,45s,Knee Tracking,⭐⭐,Body Squat,Knees Out,Squat Depth,Forces recruitment to prevent knee collapse.,Band above knees; squat deep; push knees out.,🎥,all
13,Side-Lying Clam,Beg,All,Abductors,Low,3,20ea,--,30s,Hip Stability,⭐,None,Hips Square,Pelvic Control,Classic PT move for hip and pelvic health.,Side-lying; lift top knee; feet stay together.,🎥,all
14,Lat. Sh. Raise,Beg,All,Shoulders,Low,3,12ea,--,30s,Medial Delt,⭐,None,No Shrugging,Shoulder Width,Variable tension increases difficulty vs DBs.,Anchor band at hip; raise other arm out to side.,🎥,all
15,Alt. Leg Raises,Beg,All,Quads,Med,3,10ea,--,45s,Lower Ab,⭐⭐,Plank,Flat Low Back,Core Endurance,Challenges core/flexors via resisted lifts.,Lie on back; band at ankles; lift one at a time.,🎥,all
16,Alt. Lat. Raise,Beg,All,Shoulders,Low,3,12ea,--,30s,Stability,⭐,None,Stability,Coordination,Alternating sides increases core time under tension.,"Same as rank 14, but switch arms each rep.",🎥,all
17,Mini Band Lunge,Beg,All,Quads,Med,3,10ea,--,45s,Quad Stability,⭐⭐,Lunge,Balanced Torso,Knee Tracking,Intensifies lunge by adding stabilizer tension.,Band above knees; step into lunge; resist pull.,🎥,all
18,Side Hip Abduct,Beg,All,Abductors,Low,3,15ea,--,30s,Hip Strength,⭐,None,Leg Straight,Hip Stability,Isolates outer glute and hip muscles.,Side-lying; legs straight; lift top leg high.,🎥,all
