Rank,Exercise Name,Level,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,Demo,env
1,Barbell Bench Press,Inter,Chest,High,4,5-8,--,120s,Upper Mass,⭐⭐⭐,Push-up,1x Bodyweight,1.5x BW,Standard horizontal press for mass.,Lie flat; lower bar to mid-chest; press up.,🎥,w_room
2,Barbell Curl,Beg,Biceps,Low,3,10-12,--,60s,Arm Strength,⭐,None,Form Control,Strict Reps,Core isolation for bicep strength.,Grip shoulder-width; curl bar; keep elbows pinned.,🎥,w_room
3,Back Squat,Inter,Quads,High,5,5,--,180s,Foundational,⭐⭐⭐,Body Squat,1.5x BW,2x BW,The foundational lower-body lift.,Bar on traps; sit back to parallel; drive up.,🎥,w_room
4,Deadlift,Inter,Hamstrings,Max,3,5,--,240s,Post. Chain,⭐⭐⭐,Hinge,1.5x BW,2.5x BW,Full-body pull for posterior chain.,Hinge to grip; pull close to shins to lockout.,🎥,w_room
5,Close-Grip Bench,Inter,Triceps,Med,3,8-10,--,90s,Tricep Mass,⭐⭐,Bench Press,Tricep Strength,Lockout Power,Tricep-focused bench variation.,Grip 6–8 in. apart; keep elbows tucked.,🎥,w_room
6,Incline Bench,Inter,Chest,Med,3,8-10,--,90s,Upper Chest,⭐⭐,Bench Press,Chest Balance,Upper Pec Fill,Targets upper chest and shoulders.,Bench at 45°; lower bar to upper chest.,🎥,w_room
7,Barbell Sh. Press,Inter,Shoulders,High,4,6-8,--,120s,Overhead Power,⭐⭐⭐,Landmine Prs,0.75x BW,1x BW,Vertical press for overhead strength.,Press from chest to overhead; keep core tight.,🎥,w_room
8,Bent Over Row,Beg,Back,Med,3,8-12,--,90s,Back Thickness,⭐⭐,None,Posture,Pull Strength,Builds back thickness and posture.,Hinge at 45°; pull bar to lower ribs.,🎥,w_room
9,Romanian Deadlift,Inter,Hamstrings,Med,3,10-12,--,90s,Hinge Pattern,⭐⭐,Deadlift,Hip Mobility,Hame String Size,Emphasizes hip hinge and stretch.,Hinge hips back; lower bar to mid-shin.,🎥,w_room
10,Reverse BB Curl,Beg,Biceps,Low,3,12-15,--,60s,Forearm/Grip,⭐,None,Grip Strength,Arm Detail,Targets brachialis and forearms.,Overhand grip; curl while keeping wrists neutral.,🎥,w_room
11,Barbell Hip Thrust,Inter,Glutes,Med,4,10-12,--,90s,Glute Power,⭐⭐,Bridge,Glute Active,Sprint Power,Maximum glute isolation and power.,Back on bench; bar on hips; drive up.,🎥,w_room
12,Upright Row,Beg,Trapezius,Low,3,12-15,--,60s,Trap Growth,⭐,None,Shoulder Width,Trap Detail,Targets upper traps and lateral delts.,Pull bar to chin; elbows higher than wrists.,🎥,w_room
