Exercise Name,Level,Primary Muscle,sport,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Equipment,Spring Tension,Description,Proper Form Key Points,Direct Demo Link Path,Type,Enviroment
Spine Stretch Forward,Beg,Erectors/Hamstrings,pilates,Low,2,8,1.5 min,30s,Articulation,⭐⭐⭐⭐,None,Mobility,Recovery,Mat,N/A,Seated reach forward.,Scoop belly back as you reach.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Mat,Mat
Pelvic Curl,Beg,Glutes/Hamstrings,pilates,Low,2,10,2 min,30s,Articulation,⭐⭐⭐⭐,Pelvic Tilt,Hip Strength,Posterior Power,Mat,N/A,Articulating bridge.,Roll up vertebra by vertebra.,https://www.youtube.com/watch?v=LNGlwzVW9Qw,Mat,Mat
Open Leg Rocker,Adv,Deep Abs,pilates,High,2,8,1.5 min,45s,Balance,⭐⭐⭐⭐⭐,Rolling Ball,Agility,Core Control,Mat,N/A,V-shape rocking.,Keep spine long; chest open.,https://www.youtube.com/watch?v=SRonJI25raE,Mat,Mat
Corkscrew I,Int,Obliques,pilates,Med,2,5/s,1 min,45s,Stability,⭐⭐⭐⭐,Leg Circles,Torque,Pelvic Health,Mat,N/A,Circling legs together.,Pelvis stays anchored.,https://www.youtube.com/watch?v=yssUvNuQowE,Mat,Mat
The Saw,Beg,Obliques/Hams,pilates,Low,2,5/s,1 min,30s,Mobility,⭐⭐⭐⭐,Spine Twist,Rotation,Active Recovery,Mat,N/A,Seated twist & reach.,Keep both sit-bones grounded.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Mat,Mat
Teaser II,Adv,Hip Flexors,pilates,High,2,5,1 min,60s,Hip Power,⭐⭐⭐⭐⭐,Teaser I,Iso-Strength,Force Production,Mat,N/A,"Legs move, torso still.",Upper body stays frozen.,https://www.youtube.com/watch?v=SRonJI25raE,Mat,Mat
Teaser III,Adv,Full Core,pilates,High,2,5,1 min,60s,Integration,⭐⭐⭐⭐⭐,Teaser II,Mastery,Full Body Synch,Mat,N/A,Torso/legs move together.,"Fluid, simultaneous motion.",https://www.youtube.com/watch?v=SRonJI25raE,Mat,Mat
Side Kick Front,Beg,Glutes/Hip Flexors,pilates,Low,2,10/s,2 min,30s,Stability,⭐⭐⭐⭐,None,Hip Flex,Lateral Stability,Mat,N/A,Side lying front kick.,Torso remains rock-steady.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Mat,Mat
Side Kick Up/Down,Beg,Glute Medius,pilates,Low,2,10/s,1.5 min,30s,Glute Med,⭐⭐⭐⭐,None,Hip Health,Injury Prevent,Mat,N/A,Lateral leg lift.,Reach leg long out of hip.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Mat,Mat
Leg Pull Up,Adv,Glutes/Triceps,pilates,High,2,10,1 min,45s,Post. Chain,⭐⭐⭐⭐⭐,Rev. Plank,Extension,Chain Power,Mat,N/A,Reverse plank kicks.,Drive through heels; hips high.,https://www.youtube.com/watch?v=jy4GQNfbmfQ,Mat,Mat
Boomerang,Adv,Core/Coordination,pilates,High,2,5,2 min,60s,Flow,⭐⭐⭐⭐⭐,Teaser/Roll Over,Agility,Mastery,Mat,N/A,Roll Over to Teaser.,Fluid transition; cross ankles.,https://www.youtube.com/watch?v=SRonJI25raE,Mat,Mat
Seal,Beg,Deep Abs,pilates,Low,1,8,1 min,30s,Massage,⭐⭐⭐,Roll Ball,Recovery,Spine Health,Mat,N/A,Tucked roll with claps.,Clap feet at both ends.,https://www.youtube.com/watch?v=SRonJI25raE,Mat,Mat
Knee Folds,Beg,Transverse Abs,pilates,Low,2,10/s,1 min,30s,Stability,⭐⭐⭐,None,Posture,Foundation,Mat,N/A,Alternating tabletop.,No movement in pelvis.,https://www.youtube.com/watch?v=A7rLIdK_D6E,Mat,Mat
Heel Taps,Int,Lower Abs,pilates,Med,2,10/s,1.5 min,30s,Tension,⭐⭐⭐⭐,Knee Folds,Bracing,Low Ab Strength,Mat,N/A,Taps from tabletop.,Maintain 90° angle at knee.,https://www.youtube.com/watch?v=8NBNM8haZx0,Mat,Mat
Frog Presses,Beg,Inner Thighs,pilates,Low,2,12,1.5 min,30s,Adductors,⭐⭐⭐,None,Leg Align,Stability,Mat,N/A,Diagonal leg press.,Zip legs together as they out.,https://www.youtube.com/watch?v=lJA8vu02egg,Reformer,Reformer
Side Plank Knee,Beg,Obliques,pilates,Low,2,30s,1 min,30s,Stability,⭐⭐⭐⭐,None,Side Core,Scapular Stab,Mat,N/A,Modified side plank.,Lift bottom waist away from mat.,https://www.youtube.com/watch?v=dL9ZzqtQIy4,Mat,Mat
Plank Pike,Int,Shoulders/Abs,pilates,Med,2,8,1 min,45s,Force,⭐⭐⭐⭐⭐,High Plank,Power,Vertical Force,Mat,N/A,High plank to V-pike.,Pull hips up using lower abs.,https://www.youtube.com/watch?v=f_Vp_7I6C2M,Mat,Mat
Shoulder Taps,Int,Anti-Rotation,pilates,Med,3,10/s,1.5 min,45s,Stability,⭐⭐⭐⭐⭐,High Plank,Coordination,Anti-Rotational,Mat,N/A,Plank tap opposite shoulder.,Zero swaying in the hips.,https://www.youtube.com/watch?v=W0-vP6T_S80,Mat,Mat
Russian Twists,Int,Obliques,pilates,Med,3,20,1 min,30s,Rotation,⭐⭐⭐⭐,Chest Lift,Power,Rotational Torque,Mat,N/A,Seated V-sit rotation.,Rotate from waist; long spine.,https://www.youtube.com/watch?v=S9pPj8YhXUo,Mat,Mat
Bicycle Kicks,Int,Obliques,pilates,Med,2,20,1.5 min,30s,Coordination,⭐⭐⭐⭐⭐,Criss Cross,Endurance,Speed/Control,Mat,N/A,Fast rotation/extension.,Shoulder-to-knee rotation.,https://www.youtube.com/watch?v=zKzRqV3cjgQ,Mat,Mat
Lying Clams,Beg,Glute Medius,pilates,Low,2,15/s,2 min,30s,Hip Health,⭐⭐⭐,None,Alignment,Injury Prevent,Mat,N/A,Open/close top knee.,Hips stay stacked; no roll back.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Mat,Mat
Hip Dips,Int,Obliques,pilates,Med,2,10/s,1 min,45s,Side Chain,⭐⭐⭐⭐,Elbow Plank,Definition,Oblique Strength,Mat,N/A,Plank hip rotation.,Pivot on toes; chest to floor.,https://www.youtube.com/watch?v=dL9ZzqtQIy4,Mat,Mat
Plank Jack,Int,Metabolic/Core,pilates,Med,3,15,1 min,45s,Agility,⭐⭐⭐⭐,High Plank,Stamina,Metabolic Prep,Mat,N/A,Jumping feet in plank.,Torso still while legs jump.,https://www.youtube.com/watch?v=W0-vP6T_S80,Mat,Mat
Scissors,Int,Inner Thighs,pilates,Med,2,20,1 min,30s,Adductors,⭐⭐⭐,Leg Circles,Leg Speed,Adductor Power,Mat,N/A,Straight leg crossing.,"Focus on the ""snap"" at center.",https://www.youtube.com/watch?v=oeuKRVdhxXQ,Mat,Mat
Kneeling Side Kick,Adv,Glutes/Core,pilates,High,2,10/s,2 min,45s,Balance,⭐⭐⭐⭐⭐,Side Kick,Mastery,Lateral Power,Mat,N/A,One hand down; leg kick.,Push supporting hip forward.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Mat,Mat
Prone Press Up,Beg,Mid-Back,pilates,Low,2,10,1 min,30s,Extension,⭐⭐⭐,None,Posture,Foundation,Mat,N/A,Small chest lift.,"Use back muscles, not arms.",https://www.youtube.com/watch?v=rbmAtnN0fW0,Mat,Mat
Wall Roll Down,Beg,Spine,pilates,Low,1,5,1.5 min,30s,Articulation,⭐⭐⭐⭐,None,Decompress,Alignment,Wall,N/A,Peel off wall.,Use wall for spinal feedback.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Mat,Mat
Neck Rolls,Beg,Cervical Spine,pilates,Low,1,5,1 min,30s,Mobility,⭐⭐,None,Tension,Release,Mat,N/A,Slow neck circles.,Keep shoulders down/back.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Mat,Mat
Arm Arches,Beg,Scapula,pilates,Low,2,12,1 min,30s,Shoulders,⭐⭐⭐,None,Range,Stability,Mat,N/A,Arms overhead supine.,Ribs heavy; don't flare.,https://www.youtube.com/watch?v=LNGlwzVW9Qw,Mat,Mat
Hip Circles,Beg,Femur,pilates,Low,2,8,1 min,30s,Mobility,⭐⭐⭐,None,Joint Health,ROM,Mat,N/A,Circles in hip socket.,Pelvis stays perfectly still.,https://www.youtube.com/watch?v=yssUvNuQowE,Mat,Mat
Side Leg Circles,Int,Glutes,pilates,Med,2,10/s,2 min,30s,Hip Strength,⭐⭐⭐,Side Kick,Alignment,Hip Durability,Mat,N/A,Circles on side.,Brush thighs as leg passes.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Mat,Mat
Diamond Press,Beg,Upper Back,pilates,Low,2,10,1 min,30s,Extension,⭐⭐⭐,None,Posture,T-Spine Health,Mat,N/A,Prone lift (Diamond).,Nose stays pointing at mat.,https://www.youtube.com/watch?v=rbmAtnN0fW0,Mat,Mat
Double Leg Kicks,Int,Back/Hamstrings,pilates,Med,2,8,1 min,45s,Posterior,⭐⭐⭐⭐,Single Kick,Chain Power,Glute Squeeze,Mat,N/A,Heels to glute (Prone).,Lift chest as legs extend.,https://www.youtube.com/watch?v=rbmAtnN0fW0,Mat,Mat
Spine Twist,Beg,Obliques,pilates,Low,2,10,1 min,30s,Rotation,⭐⭐⭐,None,Posture,Recovery,Mat,N/A,Seated twist.,Grow taller as you rotate.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Mat,Mat
Jackknife,Adv,Lower Abs/Spine,pilates,High,2,5,1.5 min,60s,Power,⭐⭐⭐⭐⭐,Roll Over,Explosive,Verticality,Mat,N/A,Legs to ceiling (roll).,Feet straight up; reach sky.,https://www.youtube.com/watch?v=yssUvNuQowE,Mat,Mat
Side Kick Circle,Int,Glute/Hip,pilates,Med,2,10/s,1 min,30s,Stability,⭐⭐⭐⭐,Side Kick,Balance,Hip ROM,Mat,N/A,Circular kick on side.,Circle only as big as stable.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Mat,Mat
Single Leg Kicks,Beg,Hamstrings,pilates,Low,2,10/s,1 min,30s,Post. Chain,⭐⭐⭐,None,Posture,Stretch,Mat,N/A,Prone kicks to glute.,Keep pubic bone on mat.,https://www.youtube.com/watch?v=rbmAtnN0fW0,Mat,Mat
Hip Twist,Adv,Obliques/Hips,pilates,High,2,5/s,1 min,60s,Rotation,⭐⭐⭐⭐⭐,Corkscrew,Strength,Oblique Torque,Mat,N/A,Seated leg circles.,Keep chest wide and open.,https://www.youtube.com/watch?v=yssUvNuQowE,Mat,Mat
Beats on Prone,Beg,Inner Thighs,pilates,Low,1,20,1 min,30s,Adductors,⭐⭐⭐,None,Stability,Chain Synch,Mat,N/A,Rapid leg beats.,Lift legs using inner thighs.,https://www.youtube.com/watch?v=eZMTNEQKIWE,Mat,Mat
The Rocking,Adv,Back Extension,pilates,High,1,5,1 min,60s,Spinal ROM,⭐⭐⭐⭐⭐,Swan Dive,Power,Full Chain,Mat,N/A,Grabbing ankles/rock.,Open chest; kick into hands.,https://www.youtube.com/watch?v=rbmAtnN0fW0,Mat,Mat
Control Balance,Adv,Inversion/Abs,pilates,High,1,5/s,1 min,60s,Mastery,⭐⭐⭐⭐⭐,Roll Over,Precision,Core Balance,Mat,N/A,Legs overhead/balance.,Grasp ankle while switching.,https://www.youtube.com/watch?v=jy4GQNfbmfQ,Mat,Mat
Push Up,Adv,Total Body,pilates,High,3,10,2 min,60s,Force,⭐⭐⭐⭐⭐,Plank,Foundation,Upper Body Power,Mat,N/A,Pilates style pushup.,Elbows brush ribs; long line.,https://www.youtube.com/watch?v=vthMCtgVtFw,Mat,Mat
Star,Adv,Side Chain,pilates,High,2,5/s,1.5 min,60s,Lateral Power,⭐⭐⭐⭐⭐,Side Bend,Agility,Elite Stability,Mat,N/A,Side plank leg lift.,Bottom side stays lifted.,https://www.youtube.com/watch?v=dL9ZzqtQIy4,Mat,Mat
Leg Pull Prep,Beg,Shoulders,pilates,Low,3,10,1 min,30s,Scapula,⭐⭐⭐,None,Posture,Foundation,Mat,N/A,High plank hold/rock.,Shoulder directly over wrist.,https://www.youtube.com/watch?v=W0-vP6T_S80,Mat,Mat
Relaxation,Beg,CNS,pilates,Low,1,2 min,2 min,N/A,Recovery,⭐⭐⭐,None,Rest,Longevity,Mat,N/A,Corpse pose/Breath.,Full body release into mat.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Mat,Mat
Pelvic Tilts,Beg,Pelvic Floor/TA,pilates,Low,1,10,1 min,30s,Mobility,⭐⭐⭐,None,Posture,Recovery,Mat,N/A,Pelvic rocking.,Keep glutes relaxed; use deep abs.,https://www.youtube.com/watch?v=LNGlwzVW9Qw,Mat,Mat
Chest Lift,Beg,Rectus Abdominis,pilates,Low,2,12,1 min,30s,Upper Abs,⭐⭐⭐⭐,Neutral Spine,Core Strength,Endurance,Mat,N/A,Pilates crunch.,Lift from sternum; pelvis heavy.,https://www.youtube.com/watch?v=lJA8vu02egg,Mat,Mat
Dead Bug,Beg,Transverse Abs,pilates,Med,3,10/s,2 min,45s,Stability,⭐⭐⭐⭐⭐,Pelvic Tilt,Coordination,Spinal Health,Mat,N/A,Opposite arm/leg reach.,Ribs knitted down; no back arch.,https://www.youtube.com/watch?v=8NBNM8haZx0,Mat,Mat
