Rank,Exercise,Level,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,Demo ,Env
S,Hack Squat,Inter,Quads,High,3,8-12,--,3m,Stretch/Mass,⭐⭐⭐,Goblet Sq,Leg Str,Quad Sweep,Machine squat.,Back flat against pad; deep depth.,http://www.youtube.com/watch?v=kIXcoivzGf8&t=276s,Gym
S,Back Squat,Inter,Quads,High,3,5-8,--,3-5m,Overload,⭐⭐⭐,Goblet Sq,Base Str,Power,Barbell squat.,Break parallel; chest up.,http://www.youtube.com/watch?v=3ryh7PNhz3E&t=566s,Free
S,Pendulum Squat,Inter,Quads,High,3,8-12,--,3m,Stretch,⭐⭐⭐,Hack Sq,Leg Str,Quad Detail,Arced machine squat.,Deep knee flexion.,http://www.youtube.com/watch?v=jLvqKgW-_G8&t=533s,Gym
S,Smith Squat,Beg,Quads,Med,3,10-12,--,2m,Failure Safe,⭐⭐⭐,None,Hypertrophy,Intensity,Fixed path squat.,Lean back; feet forward.,http://www.youtube.com/watch?v=fGm-ef-4PVk&t=275s,Gym
S,Bulgarian Split,Inter,Quads/Glutes,High,3,8-10,--,2m,Unilateral,⭐⭐⭐,Lunge,Balance,Imbalances,Single leg squat.,Rear foot up; deep knee bend.,http://www.youtube.com/watch?v=SgyUoY0IZ7A&t=477s,Free
S,Walking Lunge,Beg,Glutes,Med,3,12ea,--,2m,Stretch,⭐⭐⭐,Split Sq,Conditioning,Glute Tie-in,Dynamic lunge.,Lean 30° forward; long stride.,http://www.youtube.com/watch?v=GNO4OtYoCYk&t=628s,Free
S,Hip Abduction,Beg,Glute Med,Low,3,15-20,--,60s,Upper Glute,⭐⭐⭐,None,Activation,Upper Shelf,Seated machine.,Lean forward; controlled eccentric.,http://www.youtube.com/watch?v=OpRMRhr0Ycc&t=193s,Gym
S,45° Back Ext,Beg,Glutes,Low,3,12-15,--,90s,Shortened,⭐⭐⭐,None,Posture,Glute/Ham,Angled extension.,Round upper back; chin tucked.,http://www.youtube.com/watch?v=kIXcoivzGf8&t=121s,Gym
S,Chest-Sup Row,Beg,Back,Low,3,10-12,--,90s,Stability,⭐⭐⭐,DB Row,Upper Back,Thickness,Supported row.,Drive elbows back; chest on pad.,http://www.youtube.com/watch?v=kIXcoivzGf8&t=307s,Gym
S,Lat Pulldown,Beg,Lats,Low,3,10-12,--,90s,Width,⭐⭐⭐,None,Lat Width,Taper,Vertical cable pull.,Elbows to ribs; slight lean.,http://www.youtube.com/watch?v=kIXcoivzGf8&t=325s,Gym
S,Cable Row,Beg,Back,Low,3,10-12,--,90s,Stretch,⭐⭐⭐,None,Thickness,Low Lat,Seated row.,Stretch forward; pull to waist.,http://www.youtube.com/watch?v=kIXcoivzGf8&t=574s,Gym
