Rank,Exercise Name,Level,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,Demo,Env.,equipment,sport
344,1-Dribble Post Up,Beg,Quads/Glutes,Med,3,12,--,60s,Strength,⭐,None,Bump Defense,Gain Ground,One power dribble to get to spot.,Shoulder to chest; chin the ball.,🎥,Gym,Basketball,Basketball
409,1-Handed Hook (Run),Adv,Shoulders,Max,3,10,--,90s,Touch,⭐⭐⭐,Hook Shot,5/10 Made,8/10 Made,Running hook shot in the lane.,Maintain balance while moving.,🎥,Gym,Basketball,Basketball
5,180 Degree Turn,Int,Core/Quads,Med,2,10,30s,30s,Pivot Control,⭐⭐,Footwork,No Travel,Speed,Jump/Pivot 180 degrees to face hoop [22:13].,Land balanced on both feet.,[22:18],Gym,Basketball,Basketball
43,180 Degree Turn,Int,Core/Ankles,Med,2,10,30s,20s,Balance,⭐⭐⭐,Drill 42,Pivot,Accuracy,Jump and turn 180 degrees,Snap head around first,(https://www.youtube.com/watch?v=aySQTi4vyos&t=1322s),Gym,Basketball,Basketball
129,2-Ball 1-Side V,Adv,Wrist/Core,High,3,20,45s,30s,Lateral,⭐⭐⭐⭐,Drill 127,Fluidity,Speed,Both balls moving V-shape side [01:34:00].,Keep balls parallel.,https://www.youtube.com/watch?v=aySQTi4vyos&t=5640s,Gym,Basketball,Basketball
127,2-Ball Alt. Pound,Int,Shoulders,Med,3,50,30s,30s,Ambidexterity,⭐⭐⭐,Drill 126,Strong,Sync,Dribble two balls alternating [01:31:15].,Pistons-like rhythm.,https://www.youtube.com/watch?v=aySQTi4vyos&t=5475s,Gym,Basketball,Basketball
131,2-Ball Circle Leg,Adv,CNS,Extreme,2,10,45s,45s,Dexterity,⭐⭐⭐⭐⭐,Drill 130,No Loss,Elite,Wrap 2 balls around 1 leg [01:37:00].,Stay extremely low.,https://www.youtube.com/watch?v=aySQTi4vyos&t=5820s,Gym,Basketball,Basketball
132,2-Ball Figure 8,Adv,CNS,Extreme,2,5,60s,60s,Dexterity,⭐⭐⭐⭐⭐,Drill 131,Success,Elite,Dribble 2 balls in figure 8 [01:38:30].,Hand speed must be peak.,https://www.youtube.com/watch?v=aySQTi4vyos&t=5910s,Gym,Basketball,Basketball
130,2-Ball Front V,Adv,Wrist/Core,High,3,20,45s,30s,Coordination,⭐⭐⭐⭐,Drill 129,Fluidity,Speed,Both balls moving V-shape front [01:35:15].,Balls meet in the middle.,https://www.youtube.com/watch?v=aySQTi4vyos&t=5715s,Gym,Basketball,Basketball
128,2-Ball High-Low,Adv,CNS/Triceps,High,3,30s,30s,30s,Ball Control,⭐⭐⭐⭐,Drill 127,No Loss,Speed,"One ball high, one ball low [01:32:30].",Maintain two different speeds.,https://www.youtube.com/watch?v=aySQTi4vyos&t=5550s,Gym,Basketball,Basketball
